worker_id,platform,city_tier,avg_monthly_income,income_stability,income_velocity,working_hours,order_completion,platform_rating,fuel_ratio,expense_ratio,savings_ratio,gig_tenure_months,failed_autopays,credit_score,recommended_loan,risk_category,default_probability
GIG-10025,Blinkit,Tier 1,28168.03,0.242,2.29,38,0.98,4.91,0.292,0.553,0.06,45,0,613,63000,High Risk,0.3005
GIG-10026,Urban Company,Tier 3,18426.72,0.405,5.76,38,0.873,4.81,0.225,0.347,0.364,46,1,580,39000,High Risk,0.1668
GIG-10027,Swiggy,Tier 3,29949.5,0.279,16.54,40,0.979,4.96,0.346,0.451,0.145,43,1,559,61000,High Risk,0.3313
GIG-10028,Uber,Tier 3,40560.26,0.872,8.23,36,0.937,4.36,0.409,0.45,0.062,49,1,664,99000,Moderate Risk,0.0659
GIG-10029,Ola,Tier 1,28100.74,0.461,0.68,63,0.912,4.36,0.39,0.318,0.214,32,2,534,55000,Very High Risk,0.5708
GIG-10030,Zepto,Tier 2,35810.47,0.754,-2.59,46,0.985,4.96,0.329,0.514,0.076,43,1,621,82000,High Risk,0.3322
GIG-10031,Ola,Tier 3,31935.35,0.595,4.26,42,0.95,4.96,0.165,0.538,0.209,23,3,551,65000,High Risk,0.2437
GIG-10032,Zomato,Tier 1,30229.78,0.665,5.05,45,0.941,4.9,0.375,0.399,0.131,55,0,670,74000,Moderate Risk,0.0783
GIG-10033,Zomato,Tier 2,32115.51,0.618,7.42,65,0.942,4.27,0.376,0.521,0.02,28,1,583,69000,High Risk,0.1558
GIG-10034,Urban Company,Tier 1,25847.24,0.322,15.58,27,0.862,4.15,0.391,0.439,0.069,16,1,581,55000,High Risk,0.3225
GIG-10035,Blinkit,Tier 1,16959.19,0.282,4.94,49,0.849,4.44,0.192,0.33,0.415,44,0,600,37000,High Risk,0.2191
GIG-10036,Porter,Tier 2,31901.39,0.584,-0.3,37,0.817,3.63,0.156,0.484,0.289,59,0,686,80000,Moderate Risk,0.0631
GIG-10037,Porter,Tier 1,28282.11,0.32,13.51,38,0.937,3.77,0.183,0.448,0.271,19,0,622,65000,High Risk,0.2995
GIG-10038,Uber,Tier 1,11000.0,0.441,3.72,35,0.892,3.86,0.201,0.451,0.296,50,0,586,24000,High Risk,0.174
GIG-10039,Urban Company,Tier 3,19347.62,0.306,-3.74,44,0.893,4.37,0.344,0.473,0.12,40,0,589,42000,High Risk,0.2642
GIG-10040,Zepto,Tier 3,17522.81,0.105,-1.51,40,0.819,3.92,0.172,0.659,0.111,28,0,541,35000,Very High Risk,0.3981
GIG-10041,Blinkit,Tier 1,27598.1,0.468,-2.24,39,0.92,4.88,0.287,0.529,0.106,11,1,570,58000,High Risk,0.2351
GIG-10042,Porter,Tier 1,19983.63,0.106,11.39,28,0.812,4.21,0.28,0.321,0.315,51,0,602,44000,High Risk,0.2009
GIG-10043,Zomato,Tier 1,23384.87,0.461,-12.7,34,0.975,4.73,0.41,0.35,0.117,12,2,507,43000,Very High Risk,0.6462
GIG-10044,Uber,Tier 3,40641.07,0.82,8.94,40,0.92,4.27,0.228,0.651,0.032,30,1,628,94000,High Risk,0.2425
GIG-10045,Swiggy,Tier 2,19935.31,0.694,2.61,53,0.894,4.84,0.307,0.347,0.202,27,0,641,47000,Moderate Risk,0.1235
GIG-10046,Porter,Tier 3,24797.02,0.239,0.41,36,0.832,4.6,0.13,0.528,0.216,19,1,575,52000,High Risk,0.1721
GIG-10047,Zomato,Tier 3,23919.87,0.663,14.64,54,0.915,4.53,0.283,0.401,0.231,49,0,678,59000,Moderate Risk,0.0921
GIG-10048,Swiggy,Tier 3,34684.52,0.796,29.46,46,0.784,4.79,0.4,0.526,0.02,59,2,615,78000,High Risk,0.2653
GIG-10049,Urban Company,Tier 3,31771.75,0.298,4.1,52,0.804,4.96,0.372,0.35,0.136,24,1,614,72000,High Risk,0.2298
GIG-10050,Swiggy,Tier 2,32191.62,0.787,-5.12,28,0.893,4.86,0.224,0.439,0.213,30,0,687,81000,Moderate Risk,0.0713
GIG-10051,Uber,Tier 2,15974.86,0.614,15.8,26,0.913,3.52,0.319,0.371,0.164,3,0,610,36000,High Risk,0.3494
GIG-10052,Urban Company,Tier 3,26683.71,0.735,6.98,43,0.823,3.78,0.131,0.489,0.274,51,0,675,66000,Moderate Risk,0.102
GIG-10053,Uber,Tier 3,40031.94,0.737,7.9,42,0.979,4.05,0.201,0.558,0.15,9,0,707,104000,Moderate Risk,0.1127
GIG-10054,Urban Company,Tier 3,21818.66,0.696,-0.25,49,0.917,3.85,0.15,0.397,0.331,35,1,608,49000,High Risk,0.2836
GIG-10055,Ola,Tier 1,37274.64,0.823,-11.7,62,0.967,4.71,0.223,0.404,0.285,26,0,715,98000,Moderate Risk,0.0928
GIG-10056,Uber,Tier 3,16695.81,0.025,-0.45,48,0.962,4.22,0.388,0.62,0.02,52,0,514,31000,Very High Risk,0.5754
GIG-10057,Zomato,Tier 3,14318.65,0.326,-7.88,46,0.837,3.53,0.394,0.347,0.151,23,0,567,30000,High Risk,0.3159
GIG-10058,Porter,Tier 1,33740.73,0.615,-13.41,32,0.889,3.57,0.17,0.595,0.177,10,0,621,77000,High Risk,0.2077
GIG-10059,Blinkit,Tier 2,16746.71,0.735,25.81,41,0.977,4.58,0.184,0.312,0.428,18,0,715,44000,Moderate Risk,0.1077
GIG-10060,Zomato,Tier 1,22729.85,0.684,4.65,62,0.925,4.14,0.194,0.628,0.048,59,0,645,54000,Moderate Risk,0.0889
GIG-10061,Swiggy,Tier 1,15438.2,0.171,13.17,51,0.918,4.52,0.375,0.4,0.126,49,0,579,33000,High Risk,0.1568
GIG-10062,Porter,Tier 1,29070.78,0.115,4.6,51,0.961,4.75,0.216,0.632,0.098,51,0,582,62000,High Risk,0.1654
GIG-10063,Uber,Tier 1,25526.62,0.109,9.13,25,0.946,3.97,0.308,0.654,0.02,45,0,567,53000,High Risk,0.3098
GIG-10064,Porter,Tier 3,28376.14,0.16,0.54,59,0.868,4.59,0.192,0.344,0.379,13,0,603,63000,High Risk,0.1584
GIG-10065,Urban Company,Tier 3,21857.62,0.155,3.34,36,0.965,4.9,0.26,0.545,0.128,58,4,417,33000,Very High Risk,0.5343
GIG-10066,Zepto,Tier 1,40968.87,0.762,-1.37,56,0.792,4.93,0.385,0.671,0.02,37,0,706,106000,Moderate Risk,0.1157
GIG-10067,Ola,Tier 3,23434.03,0.506,28.57,54,0.902,3.64,0.383,0.406,0.148,22,1,604,52000,High Risk,0.2602
GIG-10068,Zepto,Tier 3,36668.88,0.837,4.67,62,0.797,3.83,0.325,0.33,0.21,44,0,735,99000,Moderate Risk,0.126
GIG-10069,Blinkit,Tier 2,23753.05,0.769,7.4,48,0.918,4.76,0.38,0.583,0.02,60,0,669,58000,Moderate Risk,0.1202
GIG-10070,Porter,Tier 1,40253.51,0.698,8.69,41,0.955,4.25,0.122,0.415,0.351,18,3,572,84000,High Risk,0.2768
GIG-10071,Ola,Tier 1,33970.03,0.816,10.38,45,0.852,4.44,0.4,0.341,0.115,24,0,691,86000,Moderate Risk,0.1167
GIG-10072,Zomato,Tier 3,24762.67,0.523,-0.59,48,0.939,3.54,0.127,0.429,0.345,38,1,584,53000,High Risk,0.2047
GIG-10073,Ola,Tier 3,43049.26,0.632,16.22,58,0.837,4.91,0.165,0.473,0.218,17,0,713,113000,Moderate Risk,0.0819
GIG-10074,Zomato,Tier 1,41281.1,0.695,-7.52,59,0.962,4.2,0.41,0.374,0.079,48,1,621,94000,High Risk,0.3022
GIG-10075,Zomato,Tier 1,31581.67,0.579,17.49,49,0.881,3.67,0.158,0.574,0.175,7,0,658,76000,Moderate Risk,0.1066
GIG-10076,Zomato,Tier 2,27885.69,0.634,0.48,20,0.906,3.93,0.328,0.644,0.02,7,0,606,62000,High Risk,0.1984
GIG-10077,Ola,Tier 2,27618.31,0.729,-3.76,45,0.854,3.55,0.144,0.459,0.334,45,0,681,69000,Moderate Risk,0.076
GIG-10078,Porter,Tier 1,32986.48,0.726,5.6,38,0.929,4.79,0.334,0.621,0.02,37,1,645,78000,Moderate Risk,0.0962
GIG-10079,Uber,Tier 3,29580.8,0.218,-5.32,39,0.946,4.47,0.269,0.522,0.087,59,0,563,61000,High Risk,0.286
GIG-10080,Porter,Tier 1,32514.22,0.931,0.17,60,0.853,4.05,0.416,0.316,0.131,53,0,709,85000,Moderate Risk,0.0989
GIG-10081,Porter,Tier 2,24328.93,0.149,10.33,32,0.913,4.59,0.159,0.586,0.114,15,0,597,53000,High Risk,0.2485
GIG-10082,Swiggy,Tier 1,25668.08,0.54,16.49,27,0.814,4.08,0.411,0.403,0.07,45,0,624,59000,High Risk,0.344
GIG-10083,Zepto,Tier 2,30772.03,0.605,-15.95,47,0.954,4.14,0.195,0.547,0.137,30,0,636,72000,High Risk,0.2449
GIG-10084,Zepto,Tier 2,37780.01,0.708,2.41,43,0.837,3.58,0.279,0.675,0.02,58,0,664,92000,Moderate Risk,0.0853
GIG-10085,Zomato,Tier 3,27354.27,0.275,6.39,49,0.962,4.17,0.275,0.496,0.112,44,0,582,58000,High Risk,0.2847
GIG-10086,Swiggy,Tier 1,33154.15,0.383,13.7,49,0.978,4.51,0.269,0.547,0.047,28,0,652,79000,Moderate Risk,0.0773
GIG-10087,Blinkit,Tier 1,37496.24,0.36,15.05,42,0.944,4.34,0.342,0.651,0.02,18,0,650,89000,Moderate Risk,0.121
GIG-10088,Ola,Tier 1,32559.6,0.494,3.27,45,0.848,4.04,0.239,0.578,0.094,37,0,622,74000,High Risk,0.1955
GIG-10089,Porter,Tier 1,17415.28,0.53,-17.49,38,0.961,4.27,0.264,0.31,0.342,30,0,624,40000,High Risk,0.2567
GIG-10090,Uber,Tier 2,13407.44,0.53,12.59,47,0.831,4.87,0.138,0.674,0.103,32,0,602,30000,High Risk,0.207
GIG-10091,Ola,Tier 1,27213.28,0.647,20.15,52,0.837,4.11,0.157,0.372,0.353,31,0,730,73000,Moderate Risk,0.0686
GIG-10092,Swiggy,Tier 1,29778.26,0.43,18.64,49,0.906,4.71,0.385,0.391,0.153,44,0,655,72000,Moderate Risk,0.0929
GIG-10093,Zomato,Tier 1,18049.09,0.18,-0.6,38,0.911,4.17,0.296,0.367,0.213,51,1,520,34000,Very High Risk,0.4337
GIG-10094,Ola,Tier 1,37796.68,0.897,-8.7,48,0.809,4.53,0.241,0.471,0.166,29,0,701,97000,Moderate Risk,0.1393
GIG-10095,Porter,Tier 2,32551.86,0.937,-2.11,45,0.794,4.68,0.19,0.516,0.156,16,0,697,83000,Moderate Risk,0.1026
GIG-10096,Zepto,Tier 1,18619.17,0.076,9.19,45,0.981,3.76,0.327,0.38,0.189,13,0,540,37000,Very High Risk,0.5131
GIG-10097,Zepto,Tier 1,22115.76,0.67,-9.07,57,0.889,4.42,0.147,0.602,0.188,27,1,594,48000,High Risk,0.3064
GIG-10098,Urban Company,Tier 2,19435.25,0.539,10.08,66,0.888,4.86,0.269,0.697,0.02,21,0,606,43000,High Risk,0.3361
GIG-10099,Zepto,Tier 3,28654.63,0.294,11.0,43,0.816,4.53,0.224,0.69,0.02,49,1,551,58000,High Risk,0.1765
GIG-10100,Porter,Tier 1,47719.02,0.707,-8.12,41,0.794,3.54,0.161,0.685,0.049,15,3,520,91000,Very High Risk,0.507
GIG-10101,Urban Company,Tier 1,28515.8,0.058,-2.93,60,0.812,3.59,0.354,0.484,0.106,6,4,377,39000,Very High Risk,0.3796
GIG-10102,Zomato,Tier 3,23490.81,0.4,1.98,45,0.989,4.7,0.305,0.423,0.16,23,0,602,52000,High Risk,0.2352
GIG-10103,Zomato,Tier 1,17064.97,0.212,1.83,39,0.784,3.88,0.348,0.355,0.193,40,0,517,32000,Very High Risk,0.3641
GIG-10104,Porter,Tier 3,20047.15,0.241,3.41,33,0.848,4.59,0.263,0.45,0.198,57,0,588,43000,High Risk,0.307
GIG-10105,Uber,Tier 1,22647.42,0.807,0.93,66,0.918,4.82,0.311,0.546,0.086,35,0,650,54000,Moderate Risk,0.072
GIG-10106,Swiggy,Tier 1,28709.17,0.704,6.85,36,0.842,4.02,0.352,0.565,0.02,7,0,662,70000,Moderate Risk,0.0679
GIG-10107,Swiggy,Tier 3,37485.63,0.713,18.11,41,0.909,4.65,0.313,0.512,0.121,58,3,570,78000,High Risk,0.3097
GIG-10108,Ola,Tier 2,39644.95,0.798,15.73,50,0.827,4.05,0.25,0.476,0.163,10,2,625,91000,High Risk,0.1981
GIG-10109,Ola,Tier 3,26229.97,0.566,14.13,43,0.939,4.18,0.373,0.591,0.02,41,0,634,61000,High Risk,0.1855
GIG-10110,Zomato,Tier 3,30610.2,0.679,-1.51,45,0.957,4.58,0.283,0.536,0.08,8,0,630,71000,High Risk,0.263
GIG-10111,Zepto,Tier 3,34026.73,0.849,9.78,42,0.948,3.8,0.287,0.593,0.02,40,0,666,83000,Moderate Risk,0.0884
GIG-10112,Blinkit,Tier 2,30223.86,0.91,11.48,30,0.811,3.95,0.383,0.699,0.02,16,0,662,73000,Moderate Risk,0.1178
GIG-10113,Blinkit,Tier 1,29797.48,0.33,-2.51,29,0.947,3.64,0.296,0.492,0.098,19,0,602,66000,High Risk,0.266
GIG-10114,Zepto,Tier 1,42890.52,0.749,10.93,44,0.796,3.59,0.22,0.614,0.045,45,1,665,105000,Moderate Risk,0.1014
GIG-10115,Urban Company,Tier 2,18866.49,0.486,3.65,60,0.99,4.88,0.313,0.468,0.105,23,1,577,40000,High Risk,0.1737
GIG-10116,Swiggy,Tier 1,37179.27,0.425,20.43,30,0.786,3.54,0.37,0.409,0.119,32,0,628,86000,High Risk,0.3381
GIG-10117,Swiggy,Tier 1,24271.71,0.139,9.02,33,0.808,3.62,0.338,0.499,0.069,37,0,511,45000,Very High Risk,0.6203
GIG-10118,Ola,Tier 3,30838.23,0.483,17.27,35,0.832,4.84,0.195,0.409,0.27,19,0,673,76000,Moderate Risk,0.1221
GIG-10119,Uber,Tier 2,27829.06,0.236,-6.31,52,0.785,4.48,0.409,0.524,0.02,59,0,557,57000,High Risk,0.2338
GIG-10120,Swiggy,Tier 1,35076.85,0.503,-7.54,31,0.984,4.4,0.225,0.346,0.364,26,0,699,90000,Moderate Risk,0.0801
GIG-10121,Urban Company,Tier 1,29604.55,0.621,6.52,36,0.876,4.22,0.17,0.678,0.02,31,0,647,70000,Moderate Risk,0.097
GIG-10122,Urban Company,Tier 3,42158.9,0.621,-2.28,38,0.945,3.8,0.198,0.366,0.353,54,1,647,100000,Moderate Risk,0.1016
GIG-10123,Zomato,Tier 3,30584.63,0.769,10.11,53,0.893,4.24,0.152,0.563,0.153,55,0,690,77000,Moderate Risk,0.122
GIG-10124,Urban Company,Tier 3,13353.85,0.216,15.8,52,0.892,3.73,0.329,0.617,0.02,9,1,498,24000,Very High Risk,0.6681
GIG-10125,Uber,Tier 2,25321.8,0.273,12.61,65,0.798,4.81,0.361,0.502,0.02,10,0,582,54000,High Risk,0.3468
GIG-10126,Swiggy,Tier 3,37189.87,0.855,14.86,45,0.891,4.56,0.387,0.332,0.158,38,0,718,98000,Moderate Risk,0.1287
GIG-10127,Uber,Tier 2,29347.69,0.646,-14.55,23,0.884,4.73,0.221,0.37,0.288,21,1,603,65000,High Risk,0.1701
GIG-10128,Ola,Tier 3,23477.72,0.16,1.78,29,0.957,4.2,0.414,0.554,0.02,24,0,565,49000,High Risk,0.215
GIG-10129,Ola,Tier 3,24283.06,0.485,10.24,53,0.926,4.26,0.212,0.385,0.35,43,0,637,57000,High Risk,0.2806
GIG-10130,Urban Company,Tier 3,33788.88,0.735,2.59,35,0.874,4.18,0.379,0.519,0.02,34,3,522,65000,Very High Risk,0.3976
GIG-10131,Urban Company,Tier 1,23717.37,0.401,9.22,50,0.938,4.69,0.125,0.685,0.067,8,0,618,54000,High Risk,0.3159
GIG-10132,Zepto,Tier 2,33275.04,0.64,23.38,26,0.906,3.94,0.21,0.597,0.138,5,2,594,72000,High Risk,0.3205
GIG-10133,Zomato,Tier 2,35602.46,0.771,-1.49,45,0.793,4.73,0.3,0.346,0.295,52,2,633,83000,High Risk,0.2838
GIG-10134,Uber,Tier 3,33226.27,0.932,-13.31,53,0.873,4.4,0.309,0.537,0.034,19,0,670,82000,Moderate Risk,0.101
GIG-10135,Uber,Tier 3,26031.5,0.189,6.43,45,0.913,3.6,0.196,0.445,0.262,31,0,617,59000,High Risk,0.178
GIG-10136,Zepto,Tier 3,26238.44,0.16,12.6,42,0.782,3.82,0.131,0.343,0.442,3,1,582,56000,High Risk,0.2644
GIG-10137,Swiggy,Tier 1,12998.62,0.534,3.06,41,0.887,4.79,0.268,0.581,0.02,59,0,583,28000,High Risk,0.2049
GIG-10138,Uber,Tier 3,16978.39,0.07,10.09,54,0.981,4.72,0.12,0.555,0.27,5,0,578,36000,High Risk,0.1619
GIG-10139,Blinkit,Tier 3,40897.77,0.895,-17.09,42,0.938,3.61,0.144,0.442,0.27,38,0,680,102000,Moderate Risk,0.1143
GIG-10140,Uber,Tier 2,37409.4,0.399,7.33,48,0.805,4.84,0.14,0.514,0.282,11,0,689,95000,Moderate Risk,0.0938
GIG-10141,Zomato,Tier 2,26971.7,0.282,12.33,54,0.925,4.14,0.322,0.41,0.187,26,1,573,57000,High Risk,0.2393
GIG-10142,Zomato,Tier 2,32224.55,0.795,13.11,26,0.906,4.54,0.327,0.45,0.156,16,0,719,85000,Moderate Risk,0.0714
GIG-10143,Ola,Tier 3,25535.73,0.513,3.39,39,0.866,3.96,0.323,0.542,0.049,9,0,603,56000,High Risk,0.3476
GIG-10144,Blinkit,Tier 3,43131.1,0.768,4.86,43,0.788,3.55,0.236,0.364,0.348,59,1,680,108000,Moderate Risk,0.0967
GIG-10145,Zepto,Tier 3,32487.36,0.724,7.29,56,0.987,3.93,0.408,0.456,0.047,50,0,659,79000,Moderate Risk,0.1033
GIG-10146,Uber,Tier 1,29466.4,0.127,10.01,34,0.821,3.59,0.223,0.408,0.222,58,0,577,62000,High Risk,0.2195
GIG-10147,Uber,Tier 1,19418.06,0.46,28.34,56,0.91,3.8,0.239,0.316,0.347,59,0,688,49000,Moderate Risk,0.0782
GIG-10148,Zepto,Tier 1,30127.09,0.821,1.08,38,0.964,4.9,0.165,0.485,0.202,14,0,715,79000,Moderate Risk,0.1291
GIG-10149,Blinkit,Tier 2,13815.74,0.502,-2.25,23,0.901,4.78,0.414,0.463,0.02,54,1,579,29000,High Risk,0.2647
GIG-10150,Ola,Tier 2,37326.45,0.624,-24.4,64,0.932,4.52,0.16,0.42,0.334,13,1,614,84000,High Risk,0.2058
GIG-10151,Swiggy,Tier 2,35625.0,0.708,12.16,53,0.918,4.63,0.374,0.545,0.022,58,0,690,90000,Moderate Risk,0.0662
GIG-10152,Zomato,Tier 2,14877.87,0.17,1.92,45,0.843,3.61,0.27,0.618,0.02,17,0,532,29000,Very High Risk,0.3848
GIG-10153,Ola,Tier 2,15139.52,0.165,-1.3,53,0.848,4.21,0.188,0.556,0.108,25,0,542,30000,Very High Risk,0.4817
GIG-10154,Urban Company,Tier 1,21162.62,0.418,7.1,40,0.831,4.56,0.367,0.622,0.02,17,0,601,47000,High Risk,0.2043
GIG-10155,Zomato,Tier 3,23928.29,0.085,-1.26,45,0.838,4.55,0.139,0.636,0.175,15,0,559,49000,High Risk,0.1704
GIG-10156,Zepto,Tier 2,37004.7,0.74,7.63,46,0.871,4.85,0.233,0.686,0.022,20,0,655,89000,Moderate Risk,0.1106
GIG-10157,Swiggy,Tier 2,26925.77,0.612,-5.55,55,0.802,4.66,0.313,0.319,0.282,25,2,520,51000,Very High Risk,0.5156
GIG-10158,Zepto,Tier 3,28135.13,0.482,0.47,59,0.953,4.76,0.184,0.563,0.156,56,1,605,62000,High Risk,0.2716
GIG-10159,Blinkit,Tier 1,19425.14,0.301,15.75,31,0.863,4.56,0.18,0.656,0.085,10,0,578,41000,High Risk,0.3171
GIG-10160,Urban Company,Tier 1,28952.15,0.507,29.13,52,0.782,4.19,0.409,0.508,0.02,40,0,660,70000,Moderate Risk,0.1017
GIG-10161,Urban Company,Tier 1,33745.49,0.684,14.81,37,0.889,4.02,0.232,0.301,0.387,9,0,724,90000,Moderate Risk,0.0966
GIG-10162,Zepto,Tier 2,33415.73,0.711,3.97,28,0.937,4.2,0.137,0.683,0.036,49,1,622,76000,High Risk,0.3426
GIG-10163,Blinkit,Tier 2,29845.61,0.449,8.39,35,0.944,4.36,0.164,0.624,0.098,41,0,620,68000,High Risk,0.219
GIG-10164,Swiggy,Tier 2,34788.5,0.641,1.8,46,0.811,3.51,0.309,0.479,0.149,60,2,534,68000,Very High Risk,0.5302
GIG-10165,Ola,Tier 2,29477.92,0.26,26.88,26,0.871,3.56,0.17,0.478,0.281,5,0,650,70000,Moderate Risk,0.0794
GIG-10166,Zepto,Tier 1,30968.75,0.461,6.9,38,0.986,3.78,0.358,0.663,0.02,36,3,480,55000,Very High Risk,0.6175
GIG-10167,Ola,Tier 2,28153.18,0.585,18.92,56,0.814,4.34,0.351,0.5,0.098,30,0,668,69000,Moderate Risk,0.0783
GIG-10168,Swiggy,Tier 3,26340.18,0.12,0.3,47,0.87,3.54,0.264,0.565,0.109,24,0,562,54000,High Risk,0.3487
GIG-10169,Blinkit,Tier 3,26550.21,0.364,6.01,50,0.855,4.67,0.195,0.526,0.193,57,0,619,60000,High Risk,0.3336
GIG-10170,Swiggy,Tier 3,23218.32,0.548,0.93,51,0.98,4.36,0.251,0.532,0.115,60,1,563,48000,High Risk,0.3288
GIG-10171,Urban Company,Tier 3,17357.49,0.673,9.09,31,0.819,3.99,0.377,0.383,0.183,22,0,632,40000,High Risk,0.2319
GIG-10172,Zepto,Tier 2,33677.13,0.717,11.8,56,0.812,4.8,0.282,0.413,0.212,28,0,711,88000,Moderate Risk,0.06
GIG-10173,Urban Company,Tier 3,24102.17,0.624,-5.23,51,0.936,4.76,0.247,0.421,0.249,11,0,632,56000,High Risk,0.3134
GIG-10174,Ola,Tier 2,24317.89,0.246,19.22,39,0.894,4.55,0.17,0.612,0.11,45,2,530,47000,Very High Risk,0.3744
GIG-10175,Zepto,Tier 3,33203.6,0.393,13.03,64,0.858,4.88,0.368,0.579,0.02,50,0,682,83000,Moderate Risk,0.1337
GIG-10176,Uber,Tier 3,36699.71,0.699,-1.17,32,0.985,4.77,0.33,0.591,0.02,39,2,557,75000,High Risk,0.2493
GIG-10177,Urban Company,Tier 2,19266.39,0.422,19.44,29,0.928,4.71,0.284,0.687,0.02,38,0,611,43000,High Risk,0.2937
GIG-10178,Zomato,Tier 2,26096.45,0.813,15.97,33,0.963,4.5,0.359,0.4,0.129,21,0,672,64000,Moderate Risk,0.1266
GIG-10179,Ola,Tier 2,25045.78,0.581,-6.02,29,0.934,4.1,0.141,0.614,0.166,53,0,643,59000,Moderate Risk,0.1148
GIG-10180,Blinkit,Tier 2,24542.1,0.333,10.02,33,0.868,4.61,0.15,0.411,0.361,31,0,656,59000,Moderate Risk,0.1384
GIG-10181,Porter,Tier 3,28262.38,0.127,-1.13,26,0.863,3.89,0.182,0.493,0.248,16,0,568,59000,High Risk,0.2814
GIG-10182,Porter,Tier 3,28700.63,0.544,2.28,59,0.836,3.52,0.41,0.4,0.072,13,0,625,66000,High Risk,0.272
GIG-10183,Swiggy,Tier 2,19019.64,0.241,7.77,55,0.866,3.52,0.295,0.401,0.209,35,2,499,35000,Very High Risk,0.4957
GIG-10184,Blinkit,Tier 1,24916.93,0.463,3.26,48,0.871,3.88,0.25,0.589,0.11,55,0,610,56000,High Risk,0.2727
GIG-10185,Ola,Tier 3,17661.9,0.452,10.68,37,0.837,3.87,0.139,0.484,0.254,22,0,612,40000,High Risk,0.2846
GIG-10186,Ola,Tier 1,31263.01,0.764,12.43,59,0.935,4.27,0.141,0.448,0.269,12,0,721,83000,Moderate Risk,0.1031
GIG-10187,Zomato,Tier 1,21712.11,0.083,11.41,31,0.928,4.13,0.253,0.56,0.043,18,0,566,45000,High Risk,0.3149
