tenure_years,monthly_hours,performance_rating,department,work_arrangement,attrition
0,,3,operations,remote,leave
2,203,2,sales,remote,stay
3,233,3,sales,hybrid,leave
3,206,2,product,hybrid,leave
4,174,5,engineering,remote,stay
4,209,4,support,hybrid,leave
4,193,4,sales,hybrid,stay
5,178,5,support,hybrid,stay
7,222,4,sales,office,leave
4,174,3,sales,office,stay
3,138,3,operations,office,stay
5,190,3,product,hybrid,stay
1,207,4,operations,remote,leave
0,180,4,product,office,stay
6,194,3,sales,office,stay
4,185,3,engineering,remote,stay
2,187,5,sales,remote,stay
6,209,2,engineering,office,leave
0,213,2,support,remote,leave
1,182,4,support,remote,stay
2,186,2,product,office,stay
2,209,2,operations,hybrid,stay
3,138,4,engineering,remote,stay
4,221,4,engineering,remote,stay
0,204,2,support,hybrid,leave
2,210,4,operations,hybrid,stay
1,192,3,support,office,stay
0,181,3,support,office,leave
3,235,3,support,office,stay
7,190,3,support,office,stay
2,194,3,support,remote,stay
2,162,4,sales,office,stay
0,176,2,sales,office,leave
2,159,4,sales,office,stay
2,181,2,product,office,leave
4,212,5,sales,remote,stay
1,225,2,engineering,remote,leave
2,154,3,support,hybrid,stay
1,,4,engineering,hybrid,leave
5,202,4,operations,remote,stay
0,238,4,operations,remote,stay
1,160,4,sales,office,leave
2,194,2,sales,office,leave
6,161,5,sales,remote,stay
4,216,3,operations,office,stay
2,185,5,sales,office,stay
8,224,3,sales,hybrid,leave
1,187,4,sales,remote,leave
5,171,5,,remote,stay
1,214,2,sales,remote,stay
0,176,5,operations,hybrid,stay
3,173,1,support,office,leave
3,148,5,sales,hybrid,stay
2,146,2,operations,hybrid,stay
2,180,2,operations,remote,stay
4,216,4,engineering,hybrid,leave
2,188,4,engineering,office,stay
1,197,3,operations,hybrid,leave
5,194,4,sales,office,stay
0,187,2,engineering,remote,leave
4,144,4,product,hybrid,stay
2,204,5,sales,office,leave
7,234,2,product,office,stay
1,203,4,support,office,stay
2,149,3,operations,hybrid,stay
3,207,5,sales,office,stay
0,189,4,product,office,stay
8,178,3,sales,hybrid,leave
2,158,3,product,office,stay
8,198,3,operations,hybrid,stay
4,209,2,sales,remote,leave
3,150,3,product,remote,stay
2,182,,operations,office,stay
4,163,5,operations,,stay
1,241,4,engineering,hybrid,stay
0,187,5,operations,hybrid,leave
2,209,3,engineering,remote,leave
0,150,4,product,hybrid,stay
1,187,2,engineering,office,stay
2,188,3,operations,hybrid,stay
5,195,2,sales,hybrid,leave
0,210,4,operations,hybrid,leave
1,170,2,sales,remote,stay
3,182,4,product,office,stay
2,172,2,operations,hybrid,stay
4,138,3,engineering,office,stay
5,,5,product,remote,leave
1,154,4,product,hybrid,stay
7,189,4,product,remote,stay
2,195,2,support,office,stay
,217,3,operations,remote,leave
0,216,1,product,hybrid,stay
0,178,4,product,hybrid,stay
2,152,3,support,hybrid,stay
1,212,4,support,office,leave
0,208,3,sales,office,leave
3,217,4,operations,hybrid,leave
0,170,1,support,office,leave
3,189,2,product,office,leave
0,184,4,sales,hybrid,stay
0,194,2,support,office,leave
1,190,3,product,hybrid,stay
2,216,2,engineering,hybrid,leave
1,205,3,product,office,stay
1,161,4,support,hybrid,stay
5,226,4,support,office,stay
3,193,4,sales,remote,stay
2,214,3,engineering,office,leave
1,224,2,sales,office,leave
5,178,4,support,remote,stay
7,202,4,,office,stay
7,194,1,sales,remote,stay
3,191,3,sales,office,stay
3,192,4,engineering,hybrid,stay
2,196,5,engineering,office,stay
2,203,2,product,remote,stay
2,218,2,engineering,office,leave
1,184,3,sales,remote,leave
1,214,3,sales,office,leave
2,205,4,engineering,remote,stay
3,163,2,engineering,office,stay
4,165,3,support,office,stay
4,192,3,support,hybrid,leave
2,166,4,engineering,hybrid,stay
1,217,4,engineering,hybrid,leave
3,202,2,sales,hybrid,leave
3,140,3,engineering,office,stay
5,233,2,engineering,office,leave
4,188,3,support,remote,leave
1,214,4,,hybrid,stay
,196,2,,hybrid,stay
1,189,4,engineering,hybrid,leave
0,175,4,support,remote,stay
2,150,3,support,remote,stay
1,237,5,operations,remote,leave
4,197,3,engineering,hybrid,leave
4,178,5,support,remote,stay
3,204,4,product,office,stay
2,151,3,engineering,office,stay
1,139,5,operations,hybrid,stay
4,153,3,engineering,office,stay
2,187,3,sales,office,leave
1,171,3,product,remote,stay
4,218,4,engineering,hybrid,stay
2,194,3,engineering,hybrid,stay
5,,3,product,remote,stay
4,222,3,engineering,remote,stay
2,178,5,sales,office,stay
3,164,4,operations,remote,stay
0,180,3,sales,office,stay
0,188,2,engineering,office,stay
1,228,3,sales,hybrid,leave
4,201,4,sales,remote,stay
1,212,2,engineering,office,leave
3,214,,engineering,remote,leave
1,179,3,,hybrid,leave
1,200,2,support,office,stay
5,201,3,sales,hybrid,leave
6,,3,engineering,hybrid,stay
1,189,2,product,hybrid,leave
12,194,3,,office,stay
3,175,3,support,office,stay
0,193,5,operations,office,stay
5,165,1,product,hybrid,stay
1,149,3,engineering,hybrid,stay
7,231,1,product,hybrid,leave
1,154,3,support,office,stay
0,186,4,sales,hybrid,stay
1,169,5,engineering,office,leave
4,,3,sales,remote,stay
0,184,,operations,hybrid,leave
2,168,2,engineering,hybrid,stay
1,186,,support,remote,stay
5,232,,support,office,leave
5,197,2,operations,remote,stay
1,173,3,engineering,office,leave
3,206,2,product,office,stay
3,213,4,sales,office,leave
0,188,4,sales,hybrid,leave
0,196,4,engineering,remote,stay
8,165,4,support,remote,stay
0,181,1,operations,hybrid,leave
1,163,4,support,remote,leave
5,188,5,product,remote,stay
1,202,2,engineering,hybrid,leave
2,211,2,sales,remote,leave
0,223,2,operations,,leave
,,4,engineering,office,stay
3,167,4,operations,remote,stay
0,175,4,support,remote,stay
2,204,5,sales,hybrid,stay
1,201,,operations,office,stay
2,182,4,product,remote,stay
2,209,3,engineering,remote,stay
3,219,3,operations,office,leave
3,196,4,engineering,remote,stay
4,193,3,product,remote,stay
3,183,4,engineering,office,stay
3,190,4,product,office,stay
5,184,5,sales,hybrid,leave
0,175,3,sales,office,leave
2,171,5,product,remote,stay
4,201,3,sales,office,leave
0,213,3,operations,remote,leave
3,222,4,sales,office,leave
5,182,4,engineering,office,stay
2,203,4,product,office,stay
3,,3,engineering,office,leave
9,204,3,support,hybrid,leave
2,207,3,operations,remote,leave
3,153,2,operations,hybrid,stay
4,163,4,engineering,office,stay
2,138,4,operations,remote,stay
1,201,5,engineering,hybrid,stay
2,161,4,operations,remote,stay
1,197,4,operations,hybrid,leave
5,210,3,product,remote,stay
1,202,5,engineering,hybrid,leave
1,202,3,operations,remote,stay
3,217,3,operations,remote,stay
5,193,5,sales,hybrid,stay
8,169,4,engineering,office,stay
3,188,4,product,remote,stay
6,244,3,,,leave
3,,5,operations,office,stay
6,,4,sales,remote,stay
1,168,5,sales,remote,stay
4,199,3,operations,remote,leave
3,203,3,operations,hybrid,stay
4,192,4,sales,remote,stay
2,196,4,,office,stay
2,152,2,operations,remote,stay
2,177,3,support,hybrid,stay
3,214,3,product,remote,stay
2,204,5,product,remote,stay
7,171,4,engineering,remote,stay
2,230,3,,remote,leave
2,203,2,operations,remote,stay
1,165,3,support,office,stay
4,,3,sales,hybrid,stay
7,211,4,engineering,hybrid,stay
2,196,2,product,hybrid,leave
1,182,2,sales,remote,stay
2,181,2,support,office,leave
1,183,4,operations,office,stay
2,193,4,support,remote,leave
2,217,4,product,remote,leave
2,184,2,support,hybrid,stay
1,181,4,product,office,leave
3,177,4,engineering,remote,leave
1,179,3,engineering,hybrid,stay
2,199,5,sales,office,stay
2,181,3,sales,hybrid,stay
2,167,3,support,office,stay
3,152,4,sales,remote,stay
3,,3,support,office,leave
8,184,4,sales,remote,stay
2,208,2,sales,office,leave
4,175,4,operations,hybrid,leave
1,198,2,support,remote,stay
6,175,4,support,hybrid,stay
0,186,5,support,office,stay
5,182,4,engineering,office,stay
0,190,4,product,remote,stay
0,177,4,engineering,remote,stay
6,185,5,engineering,office,stay
1,186,3,support,remote,leave
5,,2,product,hybrid,stay
2,192,3,support,office,stay
1,170,2,operations,office,stay
3,191,4,support,hybrid,leave
2,198,,sales,remote,stay
6,176,3,support,office,stay
1,221,5,product,hybrid,stay
4,,3,support,office,leave
1,,5,product,office,leave
3,193,3,support,remote,leave
2,181,4,operations,hybrid,stay
2,191,3,product,remote,leave
9,195,5,product,remote,stay
0,163,2,product,hybrid,stay
2,228,4,product,hybrid,leave
4,192,4,operations,hybrid,stay
2,170,3,product,hybrid,stay
0,211,5,product,remote,stay
3,,4,operations,remote,stay
0,207,5,support,hybrid,leave
5,208,3,engineering,hybrid,stay
3,210,2,sales,hybrid,leave
1,180,3,engineering,hybrid,stay
4,214,3,operations,office,stay
4,141,3,operations,hybrid,stay
1,210,4,engineering,hybrid,leave
3,221,4,engineering,office,leave
2,203,3,operations,office,leave
1,190,2,operations,hybrid,stay
1,224,4,engineering,remote,leave
2,243,4,support,hybrid,leave
2,214,4,product,office,stay
5,183,4,operations,remote,stay
0,215,3,support,office,leave
2,190,3,support,office,stay
4,150,5,support,hybrid,stay
6,236,4,operations,remote,stay
3,212,4,support,office,leave
1,179,3,sales,hybrid,stay
7,139,4,support,remote,stay
1,172,5,sales,hybrid,stay
1,187,3,support,office,stay
4,242,4,support,remote,stay
1,164,3,sales,remote,stay
