employee_id,years_experience,education_level,department,location,performance_rating,certifications,remote_status,annual_salary
EMP0069,11,bachelor,finance,delhi,4,4,remote,122538
EMP0070,17,master,product,bengaluru,5,4,hybrid,164710
EMP0071,5,master,finance,hyderabad,1,2,remote,103794
EMP0072,2,phd,operations,pune,3,3,remote,104054
EMP0073,21,master,sales,hyderabad,1,4,hybrid,158805
EMP0074,4,,operations,mumbai,1,3,remote,117171
EMP0075,3,,operations,pune,3,0,hybrid,94419
EMP0076,18,bachelor,product,mumbai,5,4,onsite,163276
EMP0077,15,phd,sales,pune,5,4,hybrid,156456
EMP0078,12,high_school,sales,hyderabad,2,4,remote,112436
EMP0079,20,bachelor,operations,hyderabad,5,2,onsite,140472
EMP0080,0,phd,engineering,delhi,4,3,hybrid,118432
EMP0081,0,bachelor,finance,pune,4,0,hybrid,78246
EMP0082,20,master,product,hyderabad,4,2,hybrid,160702
EMP0083,10,bachelor,sales,hyderabad,5,1,remote,121671
EMP0084,21,bachelor,engineering,delhi,3,0,onsite,157336
EMP0085,13,master,product,delhi,4,1,onsite,136661
EMP0086,15,bachelor,finance,delhi,5,0,hybrid,128529
EMP0087,20,master,sales,pune,4,2,hybrid,154785
EMP0088,21,master,,pune,2,3,onsite,155201
EMP0089,13,master,product,pune,4,3,remote,143083
EMP0090,14,high_school,product,mumbai,5,1,hybrid,132753
EMP0091,9,high_school,engineering,mumbai,3,3,onsite,124343
EMP0092,23,phd,product,bengaluru,1,2,hybrid,185262
EMP0093,6,high_school,finance,bengaluru,5,3,hybrid,106810
EMP0094,19,bachelor,sales,delhi,2,1,onsite,142064
EMP0095,17,phd,finance,bengaluru,2,2,onsite,160567
EMP0096,3,bachelor,sales,pune,1,0,remote,91313
EMP0097,9,,operations,hyderabad,3,0,remote,125524
EMP0098,1,phd,finance,hyderabad,1,1,onsite,97595
EMP0099,2,master,engineering,bengaluru,1,1,remote,106386
EMP0100,24,bachelor,sales,bengaluru,4,4,remote,173497
EMP0101,24,phd,engineering,delhi,2,0,hybrid,185091
EMP0102,21,master,sales,pune,1,4,onsite,158410
EMP0103,9,master,finance,bengaluru,2,2,onsite,122381
EMP0104,6,high_school,engineering,delhi,3,3,hybrid,106658
EMP0105,11,phd,engineering,pune,5,4,onsite,159300
EMP0106,17,high_school,operations,pune,3,1,onsite,117245
EMP0107,16,phd,engineering,mumbai,5,4,hybrid,180289
EMP0108,10,phd,engineering,pune,2,0,onsite,143268
EMP0109,2,master,engineering,hyderabad,1,3,remote,114626
EMP0110,2,master,engineering,delhi,2,1,onsite,109086
EMP0111,3,master,product,bengaluru,4,2,onsite,109522
EMP0112,3,high_school,engineering,mumbai,2,1,hybrid,97161
EMP0113,8,high_school,finance,mumbai,3,0,remote,104116
EMP0114,17,master,finance,pune,4,1,remote,145633
EMP0115,5,,operations,mumbai,2,4,onsite,99247
EMP0116,10,phd,product,delhi,2,1,hybrid,135885
EMP0117,10,phd,product,mumbai,3,0,hybrid,141690
EMP0118,11,master,sales,pune,4,1,onsite,124843
EMP0119,20,bachelor,finance,hyderabad,1,1,hybrid,140849
EMP0120,7,phd,operations,hyderabad,2,0,remote,120690
EMP0121,18,phd,product,bengaluru,1,4,onsite,170244
EMP0122,24,bachelor,product,pune,4,1,onsite,161996
EMP0123,19,phd,sales,hyderabad,5,0,hybrid,161757
EMP0124,8,high_school,engineering,delhi,1,4,hybrid,110973
EMP0125,4,bachelor,operations,mumbai,1,0,remote,91366
EMP0126,14,master,product,pune,5,4,hybrid,152575
EMP0127,1,phd,operations,mumbai,3,0,remote,110738
EMP0128,8,high_school,finance,mumbai,3,0,remote,104399
EMP0129,8,phd,finance,mumbai,3,3,hybrid,132534
EMP0130,22,phd,operations,delhi,2,1,hybrid,161206
EMP0131,9,phd,finance,hyderabad,2,2,remote,129033
EMP0132,10,master,operations,pune,5,0,onsite,119320
EMP0133,8,phd,engineering,hyderabad,5,1,onsite,139016
EMP0134,13,phd,finance,pune,5,2,onsite,146053
EMP0135,14,bachelor,product,delhi,5,3,hybrid,137864
EMP0136,14,master,operations,hyderabad,3,0,hybrid,128395
EMP0137,7,phd,operations,pune,5,4,onsite,126947
EMP0138,13,master,finance,bengaluru,1,4,onsite,136110
EMP0139,24,master,sales,pune,3,4,remote,169052
EMP0140,2,phd,sales,pune,5,3,hybrid,115058
EMP0141,16,bachelor,sales,delhi,2,0,remote,133981
EMP0142,16,master,sales,bengaluru,,1,remote,154881
EMP0143,15,high_school,finance,bengaluru,3,0,remote,124508
EMP0144,2,high_school,sales,pune,4,1,remote,84322
EMP0145,9,master,finance,pune,1,4,hybrid,114020
EMP0146,5,phd,engineering,pune,4,2,hybrid,134902
EMP0147,16,high_school,sales,bengaluru,5,1,onsite,131118
EMP0148,8,master,engineering,pune,3,3,onsite,129963
EMP0149,10,phd,operations,bengaluru,4,3,onsite,132804
EMP0150,18,master,sales,mumbai,2,3,remote,158881
EMP0151,2,high_school,operations,bengaluru,2,4,onsite,81884
EMP0152,5,bachelor,product,mumbai,1,0,onsite,103082
EMP0153,11,high_school,sales,delhi,5,0,onsite,111954
EMP0154,10,phd,operations,hyderabad,4,4,remote,136822
EMP0155,22,bachelor,sales,hyderabad,5,4,remote,164456
EMP0156,9,master,sales,delhi,5,3,remote,127384
EMP0157,7,bachelor,sales,pune,4,3,onsite,105781
EMP0158,13,phd,finance,bengaluru,2,1,remote,141202
EMP0159,9,phd,finance,pune,4,3,onsite,136398
EMP0160,24,high_school,product,bengaluru,2,3,onsite,160271
EMP0161,19,master,product,pune,1,3,onsite,156923
EMP0162,22,master,finance,hyderabad,4,1,remote,160074
EMP0163,17,bachelor,engineering,pune,4,4,hybrid,154934
EMP0164,19,master,finance,hyderabad,5,4,remote,165593
EMP0165,10,phd,operations,pune,1,2,remote,128735
EMP0166,15,bachelor,engineering,delhi,3,1,hybrid,140054
EMP0167,16,phd,sales,mumbai,2,3,remote,159325
EMP0168,2,high_school,sales,bengaluru,1,2,onsite,84746
EMP0169,15,master,product,hyderabad,5,2,remote,154309
EMP0170,4,phd,operations,mumbai,3,2,hybrid,114774
EMP0171,23,master,engineering,pune,1,3,remote,174602
EMP0172,21,bachelor,engineering,hyderabad,1,4,remote,164565
EMP0173,7,phd,sales,mumbai,2,0,onsite,123714
EMP0174,13,master,product,pune,3,1,hybrid,135263
EMP0175,14,high_school,product,delhi,5,0,remote,126819
EMP0176,9,bachelor,engineering,hyderabad,5,3,onsite,133311
EMP0177,16,master,product,pune,3,2,remote,150368
EMP0178,8,master,sales,bengaluru,5,0,remote,123421
EMP0179,21,high_school,product,pune,2,2,remote,144259
EMP0180,10,high_school,product,pune,3,3,onsite,116579
EMP0181,20,phd,finance,bengaluru,5,2,remote,178416
EMP0182,5,high_school,finance,delhi,1,0,onsite,85262
EMP0183,22,high_school,sales,delhi,3,0,hybrid,141537
EMP0184,8,phd,operations,mumbai,3,1,hybrid,132539
EMP0185,21,high_school,finance,hyderabad,3,0,hybrid,139517
EMP0186,5,master,finance,hyderabad,4,4,remote,114791
EMP0187,8,master,operations,delhi,5,4,onsite,117349
EMP0188,13,phd,product,mumbai,4,1,remote,155844
EMP0189,19,bachelor,operations,hyderabad,3,2,hybrid,139738
EMP0190,16,master,sales,hyderabad,2,3,hybrid,141890
EMP0191,5,master,,pune,1,1,remote,101202
EMP0192,21,high_school,product,pune,5,4,onsite,154704
EMP0193,20,bachelor,operations,delhi,5,2,remote,147340
EMP0194,14,bachelor,,bengaluru,4,1,onsite,147562
EMP0195,14,high_school,finance,delhi,1,0,remote,118579
EMP0196,2,phd,engineering,pune,3,3,onsite,118555
EMP0197,14,bachelor,product,delhi,4,3,hybrid,138252
EMP0198,7,bachelor,sales,bengaluru,3,2,onsite,105233
EMP0199,19,master,finance,pune,4,0,onsite,143678
EMP0200,16,master,finance,hyderabad,3,2,onsite,137850
EMP0201,20,high_school,sales,delhi,5,0,remote,144231
EMP0202,6,high_school,sales,hyderabad,4,2,onsite,93254
EMP0203,11,high_school,product,bengaluru,3,0,remote,122760
EMP0204,6,master,product,hyderabad,4,3,onsite,120367
EMP0205,20,high_school,finance,pune,1,3,hybrid,130899
EMP0206,23,bachelor,product,pune,3,3,remote,163381
EMP0207,7,master,finance,delhi,1,3,remote,113976
EMP0208,17,bachelor,operations,hyderabad,3,0,onsite,132182
EMP0209,9,master,finance,pune,3,2,onsite,116151
EMP0210,16,high_school,product,pune,1,1,remote,123908
EMP0211,10,phd,operations,hyderabad,2,3,hybrid,130576
EMP0212,12,master,product,hyderabad,4,0,hybrid,138499
EMP0213,14,phd,engineering,mumbai,1,3,hybrid,159421
EMP0214,24,bachelor,engineering,mumbai,2,2,remote,179609
EMP0215,22,bachelor,engineering,bengaluru,5,4,onsite,178987
EMP0216,1,bachelor,operations,delhi,1,1,onsite,73577
EMP0217,6,phd,sales,delhi,3,0,remote,128418
EMP0218,18,phd,operations,pune,4,4,remote,161074
EMP0219,22,bachelor,engineering,pune,5,1,hybrid,165475
EMP0220,21,bachelor,sales,hyderabad,4,4,hybrid,152559
EMP0221,19,bachelor,product,mumbai,3,1,onsite,151003
EMP0222,22,phd,operations,delhi,3,0,onsite,167288
EMP0223,0,master,finance,delhi,5,0,hybrid,92038
EMP0224,1,high_school,sales,hyderabad,2,2,onsite,79127
EMP0225,8,high_school,sales,bengaluru,4,0,remote,107417
EMP0226,1,phd,sales,pune,1,2,onsite,101340
EMP0227,6,phd,engineering,pune,3,3,hybrid,133391
EMP0228,10,high_school,sales,delhi,3,3,onsite,111801
EMP0229,16,high_school,finance,hyderabad,3,0,hybrid,118951
EMP0230,1,bachelor,finance,mumbai,4,2,hybrid,94419
EMP0231,13,master,product,delhi,,2,onsite,134166
EMP0232,20,bachelor,engineering,bengaluru,1,4,remote,159703
EMP0233,18,master,engineering,delhi,5,4,hybrid,173339
EMP0234,8,phd,finance,pune,4,3,onsite,130571
EMP0235,15,master,sales,mumbai,5,4,hybrid,159083
EMP0236,4,phd,product,pune,3,2,onsite,120298
EMP0237,6,bachelor,sales,pune,3,3,onsite,103691
EMP0238,23,phd,operations,delhi,1,4,onsite,166488
EMP0239,22,phd,engineering,hyderabad,3,1,remote,186632
EMP0240,22,master,engineering,bengaluru,3,3,onsite,181443
EMP0241,12,master,engineering,pune,3,2,remote,143838
EMP0242,6,bachelor,product,pune,2,2,remote,110885
EMP0243,15,bachelor,operations,delhi,4,0,hybrid,130607
EMP0244,9,bachelor,operations,hyderabad,1,1,hybrid,99645
EMP0245,0,high_school,sales,mumbai,3,3,hybrid,85493
EMP0246,11,master,sales,bengaluru,4,4,onsite,132954
EMP0247,2,bachelor,operations,pune,5,4,onsite,93745
EMP0248,12,master,engineering,bengaluru,2,1,remote,142570
EMP0249,7,high_school,sales,bengaluru,1,3,remote,106623
EMP0250,10,bachelor,product,hyderabad,3,1,hybrid,117146
EMP0251,9,bachelor,engineering,mumbai,1,0,onsite,117703
EMP0252,20,high_school,finance,bengaluru,5,2,remote,150890
EMP0253,13,master,operations,hyderabad,2,0,hybrid,122119
EMP0254,21,bachelor,sales,hyderabad,4,0,onsite,146556
EMP0255,2,bachelor,operations,bengaluru,5,4,onsite,92722
EMP0256,20,phd,sales,pune,1,1,hybrid,158829
EMP0257,24,bachelor,engineering,mumbai,2,2,onsite,169666
EMP0258,24,master,product,pune,1,3,hybrid,169986
EMP0259,16,high_school,product,hyderabad,4,1,onsite,127221
EMP0260,19,high_school,product,pune,1,3,hybrid,134081
EMP0261,1,phd,,delhi,5,1,hybrid,114698
EMP0262,17,phd,sales,mumbai,2,4,onsite,160245
EMP0263,0,phd,finance,bengaluru,3,3,onsite,103966
EMP0264,19,master,operations,pune,2,1,onsite,136955
EMP0265,6,phd,engineering,mumbai,3,2,hybrid,144241
EMP0266,6,bachelor,finance,delhi,4,3,remote,109454
EMP0267,16,master,,bengaluru,3,3,onsite,142455
EMP0268,3,bachelor,sales,delhi,5,3,hybrid,103946
EMP0269,12,master,engineering,delhi,5,0,hybrid,147926
EMP0270,7,bachelor,product,delhi,3,3,remote,119744
EMP0271,11,phd,operations,hyderabad,1,3,remote,133570
EMP0272,2,phd,engineering,hyderabad,3,0,remote,125159
EMP0273,21,bachelor,finance,mumbai,1,2,onsite,146384
EMP0274,20,high_school,product,mumbai,4,1,onsite,152483
EMP0275,10,master,finance,hyderabad,1,0,hybrid,111320
EMP0276,18,phd,engineering,mumbai,4,0,onsite,176798
EMP0277,1,phd,operations,pune,3,1,remote,103290
EMP0278,9,master,product,bengaluru,4,0,hybrid,126933
EMP0279,0,phd,sales,mumbai,2,2,remote,112951
EMP0280,12,phd,sales,bengaluru,5,2,onsite,151946
EMP0281,20,phd,sales,delhi,5,3,remote,177781
EMP0282,19,phd,operations,hyderabad,1,3,hybrid,155987
EMP0283,22,bachelor,engineering,bengaluru,2,1,hybrid,167236
EMP0284,6,bachelor,sales,hyderabad,4,1,onsite,102655
EMP0285,5,bachelor,finance,delhi,5,3,onsite,105215
EMP0286,3,phd,product,mumbai,5,2,onsite,131955
EMP0287,18,high_school,finance,hyderabad,3,3,onsite,135105
EMP0288,13,high_school,sales,pune,2,2,hybrid,116553
EMP0289,1,high_school,operations,delhi,3,4,hybrid,80080
EMP0290,13,bachelor,finance,hyderabad,3,2,remote,121883
EMP0291,5,master,engineering,hyderabad,3,0,hybrid,119755
EMP0292,2,bachelor,engineering,pune,4,1,hybrid,105801
EMP0293,17,master,finance,bengaluru,4,1,hybrid,150741
EMP0294,11,high_school,operations,delhi,3,4,hybrid,112351
EMP0295,12,master,sales,hyderabad,2,1,onsite,126084
EMP0296,12,phd,operations,hyderabad,2,3,hybrid,134415
EMP0297,18,phd,finance,mumbai,2,2,onsite,160425
EMP0298,19,bachelor,sales,pune,2,0,hybrid,141638
EMP0299,22,master,sales,mumbai,1,3,remote,165695
EMP0300,23,bachelor,operations,bengaluru,5,4,remote,163359
EMP0301,14,master,sales,bengaluru,2,3,onsite,136322
EMP0302,20,high_school,product,mumbai,5,1,remote,156117
EMP0303,21,high_school,finance,mumbai,3,1,remote,145605
EMP0304,14,bachelor,,hyderabad,2,2,hybrid,127253
EMP0305,21,high_school,product,hyderabad,4,3,remote,151522
EMP0306,15,high_school,operations,bengaluru,5,3,remote,125238
EMP0307,10,master,operations,delhi,3,0,hybrid,117515
EMP0308,7,master,finance,pune,4,4,hybrid,114690
EMP0309,1,bachelor,operations,bengaluru,5,4,onsite,93049
EMP0310,21,master,sales,pune,5,4,onsite,162990
EMP0311,11,phd,product,delhi,3,0,remote,141279
EMP0312,15,bachelor,engineering,mumbai,2,2,onsite,143992
EMP0313,0,master,sales,hyderabad,2,1,onsite,88321
EMP0314,10,phd,product,mumbai,2,1,hybrid,147485
EMP0315,15,master,engineering,mumbai,3,2,onsite,161407
EMP0316,14,master,operations,delhi,1,3,onsite,130328
EMP0317,1,high_school,product,mumbai,4,4,remote,99698
EMP0318,0,bachelor,product,hyderabad,,4,remote,89256
EMP0319,0,high_school,engineering,pune,4,0,remote,86266
EMP0320,23,master,product,mumbai,5,4,hybrid,182999
EMP0321,18,bachelor,operations,mumbai,1,3,remote,142533
EMP0322,15,master,finance,hyderabad,3,4,hybrid,138419
EMP0323,2,high_school,sales,bengaluru,3,4,remote,89107
EMP0324,8,phd,product,delhi,4,2,onsite,134626
EMP0325,0,master,sales,mumbai,4,0,hybrid,94908
EMP0326,19,high_school,engineering,delhi,2,0,remote,149083
EMP0327,20,phd,operations,hyderabad,1,0,hybrid,158359
EMP0328,14,master,product,hyderabad,1,2,remote,137745
EMP0329,16,phd,finance,delhi,4,0,remote,156061
EMP0330,19,high_school,finance,bengaluru,5,2,remote,144563
EMP0331,20,phd,engineering,mumbai,1,4,hybrid,186249
EMP0332,24,bachelor,product,delhi,3,3,hybrid,166637
EMP0333,10,high_school,engineering,hyderabad,5,4,remote,127078
EMP0334,23,phd,sales,mumbai,1,0,onsite,175478
EMP0335,22,phd,,mumbai,4,2,onsite,175283
EMP0336,20,phd,engineering,delhi,2,4,onsite,177302
EMP0337,22,high_school,sales,pune,2,2,remote,142666
EMP0338,13,,engineering,mumbai,1,2,remote,156892
EMP0339,20,bachelor,operations,hyderabad,4,1,hybrid,138025
EMP0340,17,high_school,product,pune,2,0,hybrid,127814
EMP0341,0,phd,sales,mumbai,3,1,hybrid,110589
EMP0342,7,bachelor,finance,delhi,5,1,remote,110673
EMP0343,15,high_school,operations,delhi,4,0,onsite,121231
EMP0344,1,master,product,bengaluru,4,4,onsite,110550
EMP0345,7,bachelor,engineering,delhi,1,1,onsite,116753
EMP0346,1,bachelor,engineering,hyderabad,4,1,remote,105135
EMP0347,21,,engineering,mumbai,2,2,hybrid,167478
EMP0348,13,high_school,product,hyderabad,1,3,remote,122538
EMP0349,8,phd,operations,delhi,3,1,hybrid,126858
EMP0350,17,bachelor,sales,pune,1,2,remote,137635
EMP0351,22,phd,finance,pune,3,1,onsite,171618
EMP0352,19,phd,sales,delhi,3,3,remote,167922
EMP0353,0,phd,finance,pune,5,4,remote,109381
EMP0354,13,high_school,sales,hyderabad,4,1,remote,115391
EMP0355,3,phd,operations,pune,2,3,remote,103826
EMP0356,7,bachelor,engineering,hyderabad,2,0,onsite,111373
EMP0357,22,master,sales,delhi,4,1,hybrid,168809
EMP0358,13,bachelor,operations,bengaluru,5,3,remote,126294
EMP0359,3,phd,operations,mumbai,2,2,onsite,115560
EMP0360,9,master,product,hyderabad,1,1,hybrid,120767
EMP0361,20,high_school,operations,hyderabad,1,1,hybrid,129200
EMP0362,6,phd,operations,mumbai,1,3,hybrid,117775
EMP0363,3,high_school,operations,delhi,5,1,remote,88099
EMP0364,0,phd,product,bengaluru,1,0,onsite,103339
EMP0365,2,phd,finance,pune,3,0,onsite,106373
EMP0366,24,phd,finance,bengaluru,1,4,remote,180107
EMP0367,7,bachelor,sales,bengaluru,5,1,hybrid,111281
EMP0368,14,master,product,pune,2,3,onsite,144440
EMP0369,23,master,product,mumbai,4,4,remote,179615
EMP0370,24,high_school,sales,hyderabad,3,4,onsite,149994
EMP0371,12,master,product,hyderabad,,3,hybrid,143810
EMP0372,11,high_school,,hyderabad,3,1,hybrid,116916
EMP0373,9,master,finance,pune,5,3,hybrid,120611
EMP0374,10,high_school,engineering,delhi,4,3,onsite,120439
EMP0375,3,phd,sales,mumbai,3,4,remote,120844
EMP0376,18,phd,engineering,bengaluru,5,4,hybrid,181118
EMP0377,7,bachelor,finance,bengaluru,2,2,onsite,104170
EMP0378,11,phd,operations,pune,5,2,onsite,139437
EMP0379,1,bachelor,engineering,hyderabad,3,4,remote,100846
EMP0380,11,master,finance,bengaluru,3,0,onsite,129973
EMP0381,7,bachelor,sales,hyderabad,1,4,remote,104666
EMP0382,5,phd,engineering,bengaluru,1,1,onsite,132873
EMP0383,9,,operations,delhi,4,3,onsite,119803
EMP0384,5,master,sales,delhi,3,1,onsite,107935
EMP0385,12,phd,sales,delhi,4,3,hybrid,150462
EMP0386,6,high_school,sales,pune,3,0,onsite,90299
EMP0387,18,high_school,product,delhi,1,1,hybrid,136088
EMP0388,20,bachelor,product,hyderabad,5,2,hybrid,160819
EMP0389,21,high_school,operations,hyderabad,3,4,remote,143335
EMP0390,20,master,engineering,pune,4,2,hybrid,163742
EMP0391,0,high_school,product,hyderabad,2,0,onsite,79988
EMP0392,23,master,sales,pune,2,3,hybrid,161856
EMP0393,8,phd,product,delhi,2,1,onsite,132575
EMP0394,7,bachelor,sales,delhi,1,3,onsite,102729
EMP0395,13,bachelor,finance,delhi,3,4,hybrid,129154
EMP0396,7,high_school,engineering,pune,4,4,onsite,112080
EMP0397,13,high_school,sales,pune,3,1,onsite,111468
EMP0398,4,phd,engineering,delhi,4,1,remote,132989
EMP0399,16,master,finance,delhi,2,1,hybrid,142809
EMP0400,18,master,sales,bengaluru,3,2,hybrid,153858
EMP0401,21,master,product,pune,1,0,hybrid,155645
EMP0402,24,bachelor,sales,delhi,5,4,remote,174898
EMP0403,23,bachelor,operations,bengaluru,4,2,onsite,151164
EMP0404,4,high_school,operations,hyderabad,4,1,hybrid,80601
EMP0405,1,high_school,operations,bengaluru,1,0,hybrid,72496
EMP0406,6,bachelor,product,delhi,5,1,remote,116949
EMP0407,0,bachelor,engineering,pune,3,4,hybrid,96783
EMP0408,9,,engineering,bengaluru,4,1,remote,152949
EMP0409,0,master,product,mumbai,4,2,remote,112344
EMP0410,10,high_school,engineering,delhi,2,2,hybrid,115496
EMP0411,21,phd,product,hyderabad,2,1,hybrid,172437
EMP0412,1,bachelor,product,bengaluru,2,2,onsite,93876
EMP0413,4,master,product,delhi,2,0,remote,113673
EMP0414,9,high_school,product,hyderabad,2,4,remote,115460
EMP0415,4,high_school,product,hyderabad,4,2,hybrid,99795
EMP0416,10,phd,sales,hyderabad,3,1,onsite,134707
EMP0417,16,high_school,product,delhi,2,4,onsite,129393
EMP0418,10,high_school,,delhi,4,2,onsite,111552
EMP0419,23,bachelor,operations,delhi,3,2,remote,152004
EMP0420,16,master,operations,bengaluru,1,3,remote,139696
EMP0421,19,high_school,sales,pune,2,1,onsite,128157
EMP0422,3,high_school,product,bengaluru,1,4,onsite,90993
EMP0423,9,master,sales,mumbai,5,0,remote,127876
EMP0424,0,master,product,delhi,4,3,onsite,100546
EMP0425,11,master,finance,delhi,3,4,hybrid,136699
EMP0426,24,phd,,hyderabad,3,2,hybrid,183285
EMP0427,0,phd,operations,pune,4,1,onsite,102257
EMP0428,12,master,finance,delhi,3,1,onsite,123731
EMP0429,21,bachelor,sales,mumbai,5,2,onsite,158507
EMP0430,12,high_school,engineering,hyderabad,1,2,onsite,117616
EMP0431,12,phd,sales,bengaluru,1,3,remote,143705
EMP0432,9,phd,engineering,delhi,5,0,remote,152903
EMP0433,5,master,product,bengaluru,5,3,hybrid,121215
EMP0434,1,master,operations,mumbai,5,3,onsite,100166
EMP0435,7,high_school,sales,delhi,3,3,hybrid,107714
EMP0436,9,phd,operations,mumbai,1,4,hybrid,129728
EMP0437,13,phd,operations,mumbai,2,2,hybrid,145807
EMP0438,7,high_school,sales,mumbai,5,4,onsite,115071
EMP0439,15,bachelor,sales,pune,3,1,hybrid,131947
EMP0440,7,bachelor,sales,hyderabad,4,3,onsite,109656
EMP0441,15,bachelor,sales,delhi,5,4,remote,141530
EMP0442,22,phd,sales,hyderabad,4,2,onsite,177926
EMP0443,23,bachelor,product,hyderabad,3,0,remote,160508
EMP0444,11,high_school,sales,mumbai,4,0,remote,112744
EMP0445,8,high_school,operations,delhi,1,2,onsite,92212
EMP0446,21,master,operations,hyderabad,1,3,onsite,145889
EMP0447,24,high_school,product,mumbai,1,1,onsite,151001
EMP0448,21,phd,operations,bengaluru,,2,onsite,164863
EMP0449,17,phd,engineering,hyderabad,4,0,remote,169975
EMP0450,1,phd,,delhi,2,1,onsite,112265
EMP0451,12,phd,engineering,mumbai,2,4,remote,163114
EMP0452,13,master,operations,hyderabad,5,2,hybrid,132291
EMP0453,5,bachelor,operations,mumbai,3,0,hybrid,98030
EMP0454,8,high_school,sales,mumbai,2,2,hybrid,101818
EMP0455,14,bachelor,product,pune,1,2,remote,128685
EMP0456,0,high_school,product,hyderabad,3,2,remote,84524
EMP0457,21,high_school,sales,mumbai,3,3,onsite,149167
EMP0458,12,high_school,engineering,delhi,,4,hybrid,138806
EMP0459,14,high_school,operations,delhi,3,3,remote,124782
EMP0460,19,master,sales,delhi,1,2,onsite,152118
EMP0461,1,master,sales,mumbai,2,0,hybrid,94014
EMP0462,19,high_school,sales,mumbai,5,1,remote,149386
EMP0463,2,high_school,engineering,bengaluru,1,4,remote,95041
