worker_id,platform,location,daily_earnings,weekly_earnings,monthly_earnings,working_hours,completed_orders,platform_rating,fuel_expenses,maintenance_cost,business_expenses,upi_transactions,cash_transactions,monthly_expenses,savings,average_bank_balance,loan_history,repayment_history,years_of_experience,days_active,weekend_income,festival_income,family_size,dependents,repayment_capability_score,risk_level,eligible_loan_amount,recommended_daily_repayment,default_probability
GIG-100014,Swiggy,Hyderabad,888.633469630415,5809.69,24981.67,46.2,508,4.7,7444.56,1674.76,9119.32,146,24,20208.58,2565.98,7558.61,0,1.0,7.0,1460,2594.78,6005.43,4,3,62.0,MEDIUM,45000.0,280.0,0.1073
GIG-100015,Zepto,Chennai,787.4079042297719,5118.93,22011.4,43.3,482,3.72,2868.89,1816.12,4685.01,120,29,15364.03,5018.58,16637.74,2,0.78,0.7,209,2025.73,4943.28,3,1,63.7,MEDIUM,40000.0,248.89,0.062
GIG-100016,Uber,Pune,1059.8422454865854,6067.9,26091.97,50.0,522,4.36,6860.08,2421.75,9281.83,145,46,20240.03,5161.1,17262.55,0,1.0,7.7,1460,2676.26,3915.06,4,3,75.5,LOW,63000.0,392.0,0.0242
GIG-100017,Urban Company,Delhi NCR,1255.3367998511799,7064.01,30375.24,52.2,566,3.84,6280.7,2183.38,8464.08,163,10,23772.059999999998,4979.05,8032.5,2,0.9,6.2,1460,3506.52,5913.89,4,3,66.9,MEDIUM,55000.0,342.22,0.1069
GIG-100018,Ola,Bengaluru,1121.313812491006,6835.22,29391.45,30.8,365,4.13,9177.13,3304.42,12481.55,158,20,24207.199999999997,2735.96,4793.25,2,0.71,7.6,1460,3180.6,8473.35,3,1,57.8,HIGH,35000.0,217.78,0.2722
GIG-100019,Urban Company,Hyderabad,1224.9554200877665,8134.58,34978.69,40.5,476,3.99,5438.76,3499.59,8938.35,158,19,28236.4,6042.45,15296.73,3,0.96,2.6,793,3660.24,9118.81,3,1,77.5,LOW,84000.0,522.67,0.0402
GIG-100020,Zomato,Hyderabad,946.168743584003,5597.6,24069.68,46.1,597,3.61,7246.81,1138.57,8385.380000000001,147,44,18731.21,4697.99,18211.84,0,1.0,1.3,412,2948.66,4280.56,4,3,71.2,MEDIUM,43000.0,267.56,0.0863
GIG-100021,Blinkit,Kolkata,1369.7374153330888,7695.96,33092.63,51.3,653,4.36,6893.4,3673.82,10567.22,138,38,25052.82,4396.38,8166.18,0,1.0,5.5,1460,3829.15,3690.22,3,2,68.7,MEDIUM,60000.0,373.33,0.1257
GIG-100022,Ola,Pune,1171.3379546346134,7943.78,34158.25,55.2,755,3.72,9408.19,2892.26,12300.45,105,21,27878.510000000002,5416.54,9630.57,0,1.0,5.8,1460,3517.18,5986.3,4,2,70.6,MEDIUM,61000.0,379.56,0.0695
GIG-100023,Zepto,Ahmedabad,1544.8983790933203,10429.34,44846.16,52.2,600,4.8,7387.02,5249.59,12636.61,122,34,28469.04,14542.09,23382.22,0,1.0,1.4,399,4171.07,7047.23,6,4,91.8,LOW,108000.0,672.0,0.0309
GIG-100024,Uber,Hyderabad,1119.0227022785,7004.64,30119.95,42.5,500,3.99,9339.66,3349.97,12689.63,175,23,26662.699999999997,2586.21,5672.73,1,0.72,5.2,1460,3492.39,3285.76,3,1,52.5,HIGH,36000.0,224.0,0.2962
GIG-100025,Zepto,Kolkata,1219.6145915220059,7998.15,34392.04,61.0,601,4.86,9784.79,3988.93,13773.720000000001,155,20,32050.68,1745.17,4442.52,0,1.0,7.9,1460,3595.16,4557.75,6,5,59.4,HIGH,41000.0,255.11,0.2955
GIG-100026,Uber,Ahmedabad,1573.8553309578945,9215.6,39627.08,45.1,473,4.72,12678.43,4744.59,17423.02,157,20,36795.03,2287.15,8832.78,0,1.0,6.8,1460,3848.23,10815.99,4,3,69.6,MEDIUM,71000.0,441.78,0.1363
GIG-100027,Swiggy,Bengaluru,1349.0652073311114,8048.0,34606.4,37.0,433,4.32,9498.2,2824.33,12322.53,112,34,31807.5,2017.34,5855.02,0,1.0,5.0,1460,3360.31,8108.79,3,2,65.2,MEDIUM,62000.0,385.78,0.1163
GIG-100028,Zepto,Delhi NCR,1579.021045136322,9582.63,41205.31,54.5,564,4.31,11402.77,2955.39,14358.16,67,7,35188.34,5084.01,19694.45,4,0.85,2.1,624,4931.8,6990.53,4,2,70.4,MEDIUM,74000.0,460.44,0.0863
GIG-100029,Porter,Chennai,1056.9810427069906,5989.34,25754.16,45.4,398,4.48,4027.33,1742.36,5769.69,106,20,20557.649999999998,3583.43,11355.51,0,1.0,5.3,1460,2665.2,3290.49,2,1,64.4,MEDIUM,46000.0,286.22,0.0671
GIG-100030,Swiggy,Chennai,904.3410773681501,5565.72,23932.6,34.5,351,4.7,5877.37,1113.84,6991.21,114,33,20594.37,2898.75,4790.75,0,1.0,1.4,439,2669.9,2581.43,4,2,63.0,MEDIUM,43000.0,267.56,0.0767
GIG-100031,Swiggy,Chennai,1930.9496101902087,11781.29,50659.55,43.5,444,3.95,13306.74,5654.44,18961.18,165,0,43172.36,5337.21,9435.81,0,1.0,3.3,987,5788.94,5437.63,3,2,75.3,LOW,122000.0,759.11,0.0229
GIG-100032,Porter,Mumbai,1083.2731929192616,6793.93,29213.9,39.8,531,4.29,4013.52,2423.83,6437.35,109,21,20948.190000000002,6597.49,17015.91,1,0.87,2.1,646,3188.38,7532.34,3,1,72.2,MEDIUM,53000.0,329.78,0.0885
GIG-100033,Uber,Delhi NCR,610.5013491633006,3479.07,14960.0,50.5,434,3.86,2648.2,805.89,3454.0899999999997,128,24,12043.99,1551.59,4361.95,0,1.0,7.9,1460,1585.33,1976.76,3,1,52.8,HIGH,18000.0,112.0,0.1756
GIG-100034,Ola,Bengaluru,1364.3869290390146,8000.73,34403.14,46.8,534,4.05,7055.65,2773.2,9828.849999999999,142,31,23954.86,5704.08,17263.68,1,0.86,5.5,1460,4114.44,4727.29,3,2,65.1,MEDIUM,62000.0,385.78,0.0641
GIG-100035,Zomato,Pune,889.3109623862654,5770.11,24811.47,52.1,629,4.17,4708.56,2837.5,7546.06,125,25,21382.3,3038.28,5501.54,0,1.0,3.0,901,2558.11,4821.25,3,2,64.9,MEDIUM,45000.0,280.0,0.1273
GIG-100036,Swiggy,Pune,1653.0469332763205,9444.76,40612.47,41.2,370,4.32,7788.09,4474.52,12262.61,137,18,30461.52,8391.18,21798.92,2,0.85,1.5,476,5044.54,9464.31,3,1,71.9,MEDIUM,73000.0,454.22,0.0786
GIG-100037,Ola,Mumbai,1390.291953414221,8774.84,37731.81,28.3,380,4.47,7055.14,1929.67,8984.810000000001,125,27,29680.95,6022.28,17065.05,0,1.0,7.2,1460,3466.72,10865.49,3,2,78.3,LOW,91000.0,566.22,0.0113
GIG-100038,Swiggy,Ahmedabad,800.3706609318965,5256.54,22603.12,49.8,500,3.78,4508.36,2345.83,6854.19,130,33,15612.43,4136.4,13673.41,1,0.78,4.8,1460,1991.73,6086.8,4,3,66.3,MEDIUM,41000.0,255.11,0.0877
GIG-100039,Uber,Bengaluru,1159.707971253302,7074.92,30422.16,52.7,548,4.41,6728.7,2705.03,9433.73,173,30,20219.22,8660.76,33173.27,2,0.75,1.9,582,3662.16,3975.27,6,4,81.0,LOW,73000.0,454.22,0.027
GIG-100040,Uber,Chennai,1570.8970161542422,10353.1,44518.33,38.1,529,4.8,9961.76,3886.54,13848.3,116,14,33870.45,5557.18,12992.65,3,0.8,6.0,1460,3926.82,12650.7,4,2,68.7,MEDIUM,80000.0,497.78,0.0878
GIG-100041,Ola,Hyderabad,574.0322438292887,3262.29,14027.85,43.9,470,4.18,4250.01,967.8,5217.81,89,30,12163.66,1403.56,2151.29,0,1.0,6.0,1460,1458.68,2800.99,6,4,52.5,HIGH,17000.0,105.78,0.2995
GIG-100042,Zepto,Pune,1042.4125196826062,6017.72,25876.2,40.6,507,3.86,3294.3,2012.27,5306.57,124,38,18017.23,4136.05,14223.13,1,0.87,4.3,1288,3250.7,3649.27,4,2,55.9,HIGH,31000.0,192.89,0.1733
GIG-100043,Swiggy,Hyderabad,607.3709068487626,3663.27,15752.06,39.8,472,4.59,3966.13,664.23,4630.360000000001,104,29,11017.710000000001,2804.77,8918.42,0,1.0,1.9,554,1470.03,2067.15,4,3,64.6,MEDIUM,28000.0,174.22,0.1178
GIG-100044,Blinkit,Mumbai,968.8127173576408,5586.64,24022.55,43.1,517,3.62,3293.53,1360.42,4653.950000000001,154,34,13221.19,6184.58,18291.54,0,1.0,6.9,1460,2552.35,6708.71,5,4,72.9,MEDIUM,43000.0,267.56,0.0808
GIG-100045,Ola,Mumbai,555.1797892666337,3348.98,14400.61,50.8,596,4.01,4459.73,1455.74,5915.469999999999,123,26,11460.11,2491.74,6773.99,0,1.0,3.3,964,1577.62,2696.16,4,3,62.7,MEDIUM,26000.0,161.78,0.1107
GIG-100046,Ola,Delhi NCR,501.4410625701811,3100.61,13332.62,47.4,659,3.63,4037.91,658.9,4696.8099999999995,114,35,11284.849999999999,1248.37,3602.1,0,1.0,2.4,747,1272.33,2059.38,3,2,53.1,HIGH,16000.0,99.56,0.1705
GIG-100047,Blinkit,Delhi NCR,1189.6104070098565,7571.33,32556.72,53.9,625,4.18,6401.55,2653.81,9055.36,125,17,20832.480000000003,6641.94,22217.85,0,1.0,7.3,1460,3021.96,9209.72,3,2,73.3,MEDIUM,59000.0,367.11,0.1175
GIG-100048,Urban Company,Ahmedabad,626.9103880342832,4211.51,18109.49,38.4,460,3.64,3123.03,1586.5,4709.530000000001,198,36,11280.68,4770.24,14273.07,0,1.0,2.7,793,1871.99,2589.44,3,2,68.0,MEDIUM,33000.0,205.33,0.1183
GIG-100049,Porter,Hyderabad,880.5615297742814,5780.74,24857.18,60.5,573,3.98,5917.16,1712.11,7629.2699999999995,117,31,16898.399999999998,6899.67,12709.51,1,0.96,4.2,1280,2676.5,5939.36,3,1,77.1,LOW,60000.0,373.33,0.0364
GIG-100050,Zepto,Hyderabad,1316.5316858984763,7619.52,32763.94,42.4,463,3.65,8555.16,3735.74,12290.9,138,29,25237.37,5473.16,20736.27,3,0.84,5.7,1460,4199.91,9462.61,6,5,66.6,MEDIUM,59000.0,367.11,0.129
GIG-100051,Zepto,Pune,1428.3993320915993,8963.42,38542.71,41.9,344,3.71,9992.5,2589.68,12582.18,163,26,33055.75,2886.92,6605.92,1,0.97,6.8,1460,3690.99,4783.67,3,1,60.2,MEDIUM,69000.0,429.33,0.062
GIG-100052,Porter,Mumbai,1304.9262113005027,8869.99,38140.96,51.7,661,4.15,8237.5,3440.33,11677.83,121,8,33357.89,4274.31,14621.06,0,1.0,7.0,1460,3497.95,9666.36,4,3,64.8,MEDIUM,69000.0,429.33,0.0688
GIG-100053,Zomato,Kolkata,747.8594374207764,4154.15,17862.84,37.6,353,4.19,3516.57,1685.75,5202.32,115,16,12428.97,4781.72,16572.78,3,0.84,3.2,976,1805.56,5314.99,5,3,65.6,MEDIUM,32000.0,199.11,0.1393
GIG-100054,Swiggy,Hyderabad,1233.8434111644178,7608.49,32716.51,47.3,550,3.9,5145.9,3349.08,8494.98,134,39,22809.48,5182.73,20330.59,0,1.0,2.2,642,3188.91,4426.73,4,3,68.8,MEDIUM,59000.0,367.11,0.1253
GIG-100055,Porter,Bengaluru,1171.023057297955,7323.71,31491.95,33.9,391,3.97,4594.77,3498.75,8093.52,139,45,26639.53,4099.57,14446.02,1,0.81,2.2,657,2896.16,8675.79,2,1,66.1,MEDIUM,57000.0,354.67,0.0997
GIG-100056,Urban Company,Ahmedabad,767.2606730081355,5068.96,21796.53,51.6,436,4.42,6210.62,1478.34,7688.96,88,27,19012.35,2022.13,4383.11,2,0.96,1.1,315,2145.35,4274.68,4,3,59.8,HIGH,26000.0,161.78,0.2563
GIG-100057,Porter,Delhi NCR,1473.3361413562038,9545.05,41043.71,55.4,648,4.8,5165.33,4353.32,9518.65,131,21,25206.27,10041.69,33727.73,1,0.7,6.8,1460,3722.95,11335.21,5,4,84.1,LOW,99000.0,616.0,0.0492
GIG-100058,Swiggy,Hyderabad,578.7124291227428,3769.62,16209.37,52.0,584,4.35,5067.02,1091.7,6158.72,79,26,14395.599999999999,1583.08,2780.32,0,1.0,5.2,1460,1438.44,4088.09,2,0,57.8,HIGH,19000.0,118.22,0.2562
GIG-100059,Porter,Ahmedabad,466.5143846567529,2593.57,11152.35,53.7,629,4.94,3010.36,562.16,3572.52,116,4,9589.95,796.57,1238.91,1,0.83,1.0,283,1444.9,3286.57,5,3,45.7,HIGH,13000.0,80.89,0.1745
GIG-100060,Zomato,Bengaluru,400.0,2553.86,10981.6,37.8,321,4.91,1649.56,819.08,2468.64,141,9,8902.8,1388.41,4298.95,1,0.97,6.5,1460,1169.44,1698.33,6,5,56.0,HIGH,13000.0,80.89,0.1845
GIG-100061,Zepto,Chennai,1125.9721748300544,7458.06,32069.66,44.2,451,3.86,9419.65,3275.2,12694.849999999999,91,28,30100.03,1650.38,5615.52,3,0.88,2.1,659,3128.59,9416.89,2,0,56.6,HIGH,38000.0,236.44,0.1676
GIG-100062,Urban Company,Kolkata,1604.0410254073154,9847.32,42343.48,40.6,373,3.97,11835.5,2745.08,14580.58,174,20,34219.7,4099.65,6891.99,0,1.0,1.4,434,3932.09,9162.89,4,2,63.0,MEDIUM,76000.0,472.89,0.1156
GIG-100063,Uber,Hyderabad,761.5583499047755,5165.39,22211.18,45.6,431,4.45,5785.86,1882.88,7668.74,112,18,15496.91,4233.91,11830.73,0,1.0,7.0,1460,1914.55,4437.3,2,1,66.8,MEDIUM,40000.0,248.89,0.1054
GIG-100064,Zomato,Mumbai,1001.6148974899158,5645.04,24273.67,41.4,372,3.64,7457.9,1071.87,8529.77,137,33,20310.370000000003,3105.74,11421.12,2,0.72,5.7,1460,2913.84,5857.12,3,1,57.8,HIGH,29000.0,180.44,0.2842
GIG-100065,Zomato,Mumbai,1030.7164057010843,6374.28,27409.4,56.5,670,3.68,4643.72,1446.22,6089.9400000000005,89,19,21657.0,3380.6,13318.43,1,0.85,4.6,1387,3076.97,3188.43,5,3,65.2,MEDIUM,49000.0,304.89,0.0783
GIG-100066,Uber,Mumbai,1252.7132843859113,7997.69,34390.07,46.3,425,3.96,7308.74,3764.4,11073.14,123,12,29361.51,4008.18,10275.9,0,1.0,8.0,1460,3078.87,3649.84,6,5,63.2,MEDIUM,62000.0,385.78,0.1294
GIG-100067,Uber,Delhi NCR,1689.374692010254,11209.76,48201.97,42.3,461,3.98,11494.73,5446.3,16941.03,101,28,36350.3,8879.11,27337.9,3,0.75,4.8,1448,5271.8,8885.75,4,3,78.4,LOW,116000.0,721.78,0.0297
GIG-100068,Ola,Kolkata,997.9785073522784,5954.94,25606.24,44.7,495,4.14,8037.35,1553.04,9590.39,151,9,22756.71,1795.42,6164.9,0,1.0,2.4,697,2868.55,3398.07,2,1,57.7,HIGH,31000.0,192.89,0.228
GIG-100069,Zomato,Delhi NCR,1009.2623450969211,6360.66,27350.84,55.9,530,3.83,3482.7,2705.33,6188.03,130,37,20299.73,4864.22,17561.91,0,1.0,3.0,896,2992.89,3648.83,5,3,68.1,MEDIUM,49000.0,304.89,0.0646
GIG-100070,Urban Company,Hyderabad,907.1681599371005,5362.27,23057.76,45.0,612,3.8,7316.83,2702.59,10019.42,88,23,18118.11,4350.47,13476.89,1,0.9,4.5,1362,2545.32,2497.49,4,2,68.8,MEDIUM,42000.0,261.33,0.0712
GIG-100071,Ola,Chennai,1487.8639858581307,9485.82,40789.03,37.7,347,4.53,8514.71,4464.42,12979.13,124,28,29061.73,9112.7,32762.78,1,0.96,0.7,205,4725.35,4844.93,4,3,82.1,LOW,98000.0,609.78,0.0472
GIG-100072,Urban Company,Ahmedabad,1123.6244875562531,6755.26,29047.62,37.4,447,4.51,9291.83,1273.94,10565.77,140,28,27828.58,807.93,2970.66,2,0.82,5.7,1460,3282.09,3524.02,4,3,58.5,HIGH,35000.0,217.78,0.1991
GIG-100073,Zomato,Ahmedabad,1309.0900244474503,7941.28,34147.5,51.6,659,4.35,4137.03,2252.6,6389.629999999999,90,3,21469.69,8347.95,27036.24,0,1.0,5.5,1460,3998.31,4235.72,3,2,86.7,LOW,82000.0,510.22,0.0348
GIG-100074,Swiggy,Hyderabad,1453.435981269922,8899.3,38266.99,53.9,599,4.12,7644.39,3306.8,10951.19,110,30,29449.480000000003,6552.84,22359.65,0,1.0,4.0,1202,3518.06,6438.4,6,4,78.5,LOW,92000.0,572.44,0.0178
GIG-100075,Uber,Pune,1365.6250064253677,9156.71,39373.85,48.2,456,4.09,5523.53,3105.41,8628.939999999999,125,38,24937.36,8863.27,20103.89,1,0.91,0.6,206,3343.34,11295.85,3,2,78.2,LOW,94000.0,584.89,0.0149
GIG-100076,Ola,Pune,544.6158995417188,3497.39,15038.78,38.2,425,3.95,4700.9,1183.31,5884.209999999999,136,29,14178.07,619.79,1000.0,2,0.97,1.9,558,1353.64,3210.21,4,3,48.5,HIGH,18000.0,112.0,0.1842
GIG-100077,Porter,Chennai,609.0881548701072,4062.64,17469.35,60.0,782,4.68,3056.46,1848.42,4904.88,94,46,12869.76,3527.98,6134.59,0,1.0,2.1,639,1634.02,2574.53,4,3,71.0,MEDIUM,31000.0,192.89,0.0773
GIG-100078,Urban Company,Delhi NCR,1244.8296841080244,7731.27,33244.46,46.4,540,4.42,7292.28,3956.85,11249.13,115,41,24018.66,7178.21,18023.03,4,0.74,1.2,390,3218.58,5923.54,4,3,71.8,MEDIUM,60000.0,373.33,0.0683
GIG-100079,Urban Company,Delhi NCR,531.9339372869891,2984.87,12834.94,50.5,428,4.05,2122.02,877.91,2999.93,101,32,7714.92,3623.05,6046.98,3,0.9,5.9,1460,1657.16,1776.02,4,3,60.7,MEDIUM,23000.0,143.11,0.0866
GIG-100080,Uber,Chennai,1230.9197994466504,6866.3,29525.09,59.4,640,3.84,7617.5,1655.61,9273.11,132,17,23561.980000000003,3212.15,8434.87,2,0.98,5.5,1460,3507.92,8607.3,4,3,66.8,MEDIUM,53000.0,329.78,0.0788
GIG-100081,Blinkit,Hyderabad,1125.548864590675,6952.79,29897.0,52.2,681,4.64,4351.29,3171.64,7522.93,87,16,23831.95,4751.95,7557.51,0,1.0,3.5,1063,3262.82,3522.61,3,1,72.2,MEDIUM,54000.0,336.0,0.0844
GIG-100082,Porter,Chennai,1347.8311926498368,9024.01,38803.24,63.2,701,4.77,6274.57,4440.94,10715.509999999998,86,30,25425.489999999998,11063.13,27121.91,0,1.0,3.5,1077,3770.65,11580.11,3,2,88.5,LOW,93000.0,578.67,0.0261
GIG-100083,Swiggy,Kolkata,737.1984292752959,4668.87,20076.14,56.5,782,4.79,6114.22,1585.31,7699.530000000001,44,25,17768.980000000003,1859.4,3601.84,0,1.0,1.8,563,2254.34,2539.73,3,1,61.7,MEDIUM,36000.0,224.0,0.0946
GIG-100084,Zomato,Mumbai,1118.8959464560276,7086.05,30470.01,22.9,197,4.5,4582.84,1368.35,5951.1900000000005,128,19,22563.15,5407.66,8897.82,0,1.0,2.8,831,2878.73,6822.77,3,2,72.3,MEDIUM,55000.0,342.22,0.0681
GIG-100085,Urban Company,Bengaluru,1105.4903498284607,7249.98,31174.91,40.2,562,4.46,7027.08,2309.65,9336.73,104,13,21266.67,8467.99,22223.91,2,0.92,5.7,1460,3197.27,5026.98,4,2,77.7,LOW,75000.0,466.67,0.0108
GIG-100086,Zepto,Mumbai,400.0,2311.9,9941.17,41.6,466,4.95,2786.58,1160.79,3947.37,131,36,8639.24,708.11,2032.2,1,0.75,2.4,697,963.88,1473.68,2,1,47.2,HIGH,12000.0,74.67,0.1987
GIG-100087,Uber,Mumbai,400.0,2438.91,10487.31,42.4,439,4.92,2908.98,684.11,3593.09,117,34,9067.82,958.21,2047.38,1,0.97,6.0,1460,1211.21,2919.84,4,2,58.2,HIGH,13000.0,80.89,0.16
GIG-100088,Uber,Kolkata,1646.5289188543984,10511.93,45201.3,49.7,550,4.59,6075.82,2065.72,8141.539999999999,99,11,24098.82,18625.06,62277.93,2,0.9,4.4,1298,4006.56,5286.67,3,2,84.8,LOW,108000.0,672.0,0.0174
GIG-100089,Urban Company,Pune,1198.8902341373775,7006.99,30130.06,40.3,507,4.94,5395.96,3059.34,8455.3,128,15,23706.11,4193.4,8446.42,1,0.86,1.8,567,2897.43,3508.17,5,4,66.5,MEDIUM,54000.0,336.0,0.1384
GIG-100090,Blinkit,Hyderabad,1424.744044828433,9052.0,38923.6,58.2,749,4.88,6419.4,2715.83,9135.23,135,22,26962.989999999998,8082.53,24509.05,1,0.79,5.0,1460,3565.39,6525.68,5,4,78.0,LOW,93000.0,578.67,0.0426
GIG-100091,Swiggy,Pune,1393.1469461754305,9187.24,39505.13,39.5,425,4.51,6142.48,3302.71,9445.189999999999,117,24,32996.86,5694.44,9156.29,2,0.76,7.0,1460,4155.47,10085.24,4,2,74.4,MEDIUM,71000.0,441.78,0.1186
GIG-100092,Uber,Hyderabad,1107.4450518576216,6904.4,29688.92,47.9,468,4.48,8082.05,1567.75,9649.8,198,22,23466.71,3134.33,6634.43,0,1.0,4.6,1405,3268.19,8154.49,5,4,63.2,MEDIUM,53000.0,329.78,0.1044
GIG-100093,Uber,Kolkata,681.4409282876854,4442.27,19101.76,49.6,502,4.65,2427.11,1903.66,4330.77,93,20,11983.32,6287.22,15214.14,2,1.0,6.0,1460,1937.6,1930.15,3,2,72.3,MEDIUM,34000.0,211.56,0.1178
GIG-100094,Blinkit,Kolkata,400.0,2561.72,11015.4,32.4,339,4.09,3071.53,522.56,3594.09,163,26,9069.3,1347.46,4184.96,1,0.88,7.1,1460,961.03,2466.54,4,3,50.6,HIGH,13000.0,80.89,0.2515
GIG-100095,Urban Company,Bengaluru,1372.426376658323,7685.83,33049.07,41.6,457,4.68,8643.53,3407.0,12050.53,98,6,27891.52,3486.91,6515.75,0,1.0,6.5,1460,3358.11,5514.16,2,1,73.1,MEDIUM,59000.0,367.11,0.1399
GIG-100096,Zepto,Mumbai,1320.7840895941722,8613.29,37037.15,37.8,446,4.76,7287.67,3175.93,10463.6,175,26,28868.93,4686.85,11274.63,3,0.78,7.5,1460,3294.92,6740.06,3,1,63.6,MEDIUM,67000.0,416.89,0.0944
GIG-100097,Ola,Hyderabad,970.9094196426109,5918.32,25448.78,49.2,630,3.71,6758.89,2028.7,8787.59,130,14,20473.989999999998,3939.06,13447.09,2,0.9,7.0,1460,2705.32,3224.26,3,1,62.9,MEDIUM,46000.0,286.22,0.0809
GIG-100098,Blinkit,Chennai,1028.714187438062,6673.49,28696.01,44.2,425,3.69,6241.79,1225.01,7466.8,131,0,17959.88,9260.72,17114.86,3,0.71,2.4,742,2839.04,7327.3,3,2,73.4,MEDIUM,52000.0,323.56,0.1131
GIG-100099,Ola,Mumbai,1345.842299202873,8134.85,34979.86,46.8,389,4.95,5992.26,3229.83,9222.09,122,28,23197.4,8555.62,22756.51,0,1.0,7.7,1460,3510.13,8610.79,3,2,83.4,LOW,84000.0,522.67,0.02
GIG-100100,Zepto,Pune,910.3577543159754,6024.91,25907.11,54.1,470,4.58,5925.15,1205.67,7130.82,199,20,19166.62,4677.08,8953.97,1,0.86,6.9,1460,2711.27,2941.33,4,3,74.7,MEDIUM,47000.0,292.44,0.065
GIG-100101,Urban Company,Pune,1035.986245613306,6756.87,29054.54,57.0,473,3.83,5405.39,2921.15,8326.54,111,9,22268.260000000002,3949.29,14590.95,2,0.71,4.3,1301,2653.26,4408.28,6,4,59.9,HIGH,35000.0,217.78,0.2864
GIG-100102,Blinkit,Mumbai,842.4495427370077,5533.83,23795.47,38.2,456,4.93,3825.2,1948.05,5773.25,119,36,15809.81,6525.42,19210.73,3,0.86,4.5,1327,2278.27,6070.76,3,1,77.4,LOW,57000.0,354.67,0.0163
GIG-100103,Uber,Chennai,874.7575586888884,5841.62,25118.97,54.2,712,3.79,4029.16,1374.96,5404.12,181,14,19809.78,4044.1,7603.96,3,0.94,5.7,1460,2293.2,7452.91,2,1,66.3,MEDIUM,45000.0,280.0,0.0934
