survived,passenger_class,sex,age,siblings_spouses,parents_children,fare,embarkation_port
1,first,female,36,0,0,262.375,cherbourg
1,first,female,30,0,0,86.5,southampton
1,first,male,45,0,0,29.7,cherbourg
1,first,female,,0,1,55,southampton
0,first,male,,0,0,0,southampton
0,first,male,27,1,0,136.7792,cherbourg
1,first,female,26,1,0,136.7792,cherbourg
1,first,female,22,0,0,151.55,southampton
0,first,male,,0,0,52,southampton
0,first,male,47,0,0,25.5875,southampton
1,first,female,39,1,1,83.1583,cherbourg
0,first,male,37,1,1,83.1583,cherbourg
1,first,female,64,0,2,83.1583,cherbourg
1,first,female,55,2,0,25.7,southampton
0,first,male,,0,0,26.55,southampton
0,first,male,70,1,1,71,southampton
1,first,female,36,0,2,71,southampton
1,first,female,64,1,1,26.55,southampton
0,first,male,39,1,0,71.2833,cherbourg
1,first,female,38,1,0,71.2833,cherbourg
1,first,male,51,0,0,26.55,southampton
1,first,male,27,0,0,30.5,southampton
1,first,female,33,0,0,151.55,southampton
0,first,male,31,1,0,52,southampton
1,first,female,27,1,2,52,southampton
1,first,male,31,1,0,57,southampton
1,first,female,17,1,0,57,southampton
1,first,male,53,1,1,81.8583,southampton
1,first,male,4,0,2,81.8583,southampton
1,first,female,54,1,1,81.8583,southampton
0,first,male,50,1,0,106.425,cherbourg
1,first,female,27,1,1,247.5208,cherbourg
1,first,female,48,1,0,106.425,cherbourg
1,first,female,48,1,0,39.6,cherbourg
1,first,male,49,1,0,56.9292,cherbourg
0,first,male,39,0,0,29.7,cherbourg
1,first,female,23,0,1,83.1583,cherbourg
1,first,female,38,0,0,227.525,cherbourg
1,first,female,54,1,0,78.2667,cherbourg
0,first,female,36,0,0,31.6792,cherbourg
0,first,male,,0,0,221.7792,southampton
1,first,female,,0,0,31.6833,southampton
1,first,female,,0,0,110.8833,cherbourg
1,first,male,36,0,0,26.3875,southampton
0,first,male,30,0,0,27.75,cherbourg
1,first,female,24,3,2,263,southampton
1,first,female,28,3,2,263,southampton
1,first,female,23,3,2,263,southampton
0,first,male,19,3,2,263,southampton
0,first,male,64,1,4,263,southampton
1,first,female,60,1,4,263,southampton
1,first,female,30,0,0,56.9292,cherbourg
0,first,male,,0,0,26.55,southampton
1,first,male,50,2,0,133.65,southampton
1,first,male,43,1,0,27.7208,cherbourg
1,first,female,,1,0,133.65,southampton
1,first,female,22,0,2,49.5,cherbourg
1,first,male,60,1,1,79.2,cherbourg
1,first,female,48,1,1,79.2,cherbourg
0,first,male,,0,0,0,southampton
0,first,male,37,1,0,53.1,southampton
1,first,female,35,1,0,53.1,southampton
0,first,male,47,0,0,38.5,southampton
1,first,female,35,0,0,211.5,cherbourg
1,first,female,22,0,1,59.4,cherbourg
1,first,female,45,0,1,59.4,cherbourg
0,first,male,24,0,0,79.2,cherbourg
1,first,male,49,1,0,89.1042,cherbourg
1,first,female,,1,0,89.1042,cherbourg
0,first,male,71,0,0,34.6542,cherbourg
1,first,male,53,0,0,28.5,cherbourg
1,first,female,19,0,0,30,southampton
0,first,male,38,0,1,153.4625,southampton
1,first,female,58,0,1,153.4625,southampton
1,first,male,23,0,1,63.3583,cherbourg
1,first,female,45,0,1,63.3583,cherbourg
0,first,male,46,0,0,79.2,cherbourg
1,first,male,25,1,0,55.4417,cherbourg
1,first,female,25,1,0,55.4417,cherbourg
1,first,male,48,1,0,76.7292,cherbourg
1,first,female,49,1,0,76.7292,cherbourg
0,first,male,,0,0,42.4,southampton
0,first,male,45,1,0,83.475,southampton
1,first,female,35,1,0,83.475,southampton
0,first,male,40,0,0,0,southampton
1,first,male,27,0,0,76.7292,cherbourg
1,first,male,,0,0,30,southampton
1,first,female,24,0,0,83.1583,cherbourg
0,first,male,55,1,1,93.5,southampton
1,first,female,52,1,1,93.5,southampton
0,first,male,42,0,0,42.5,southampton
0,first,male,,0,0,51.8625,southampton
0,first,male,55,0,0,50,southampton
1,first,female,16,0,1,57.9792,cherbourg
1,first,female,44,0,1,57.9792,cherbourg
1,first,female,51,1,0,77.9583,southampton
0,first,male,42,1,0,52,southampton
1,first,female,35,1,0,52,southampton
1,first,male,35,0,0,26.55,cherbourg
1,first,male,38,1,0,90,southampton
0,first,male,,0,0,30.6958,cherbourg
1,first,female,35,1,0,90,southampton
1,first,female,38,0,0,80,
0,first,female,50,0,0,28.7125,cherbourg
1,first,male,49,0,0,0,southampton
0,first,male,46,0,0,26,southampton
0,first,male,50,0,0,26,southampton
0,first,male,32.5,0,0,211.5,cherbourg
0,first,male,58,0,0,29.7,cherbourg
0,first,male,41,1,0,51.8625,southampton
1,first,female,,1,0,51.8625,southampton
1,first,male,42,1,0,52.5542,southampton
1,first,female,45,1,0,52.5542,southampton
0,first,male,,0,0,26.55,southampton
1,first,female,39,0,0,211.3375,southampton
1,first,female,49,0,0,25.9292,southampton
1,first,female,30,0,0,106.425,cherbourg
1,first,male,35,0,0,512.3292,cherbourg
0,first,male,,0,0,27.7208,cherbourg
0,first,male,42,0,0,26.55,southampton
1,first,female,55,0,0,27.7208,cherbourg
1,first,female,16,0,1,39.4,southampton
1,first,female,51,0,1,39.4,southampton
0,first,male,29,0,0,30,southampton
1,first,female,21,0,0,77.9583,southampton
0,first,male,30,0,0,45.5,southampton
1,first,female,58,0,0,146.5208,cherbourg
1,first,female,15,0,1,211.3375,southampton
0,first,male,30,0,0,26,southampton
1,first,female,16,0,0,86.5,southampton
1,first,male,,0,0,29.7,cherbourg
0,first,male,19,1,0,53.1,southampton
1,first,female,18,1,0,53.1,southampton
1,first,female,24,0,0,49.5042,cherbourg
0,first,male,46,0,0,75.2417,cherbourg
0,first,male,54,0,0,51.8625,southampton
1,first,male,36,0,0,26.2875,southampton
0,first,male,28,1,0,82.1708,cherbourg
1,first,female,,1,0,82.1708,cherbourg
0,first,male,65,0,0,26.55,southampton
0,first,male,44,2,0,90,queenstown
1,first,female,33,1,0,90,queenstown
1,first,female,37,1,0,90,queenstown
1,first,male,30,1,0,57.75,cherbourg
0,first,male,55,0,0,30.5,southampton
0,first,male,47,0,0,42.4,southampton
0,first,male,37,0,1,29.7,cherbourg
1,first,female,31,1,0,113.275,cherbourg
1,first,female,23,1,0,113.275,cherbourg
0,first,male,58,0,2,113.275,cherbourg
1,first,female,19,0,2,26.2833,southampton
0,first,male,64,0,0,26,southampton
1,first,female,39,0,0,108.9,cherbourg
1,first,male,,0,0,25.7417,cherbourg
1,first,female,22,0,1,61.9792,cherbourg
0,first,male,65,0,1,61.9792,cherbourg
0,first,male,28.5,0,0,27.7208,cherbourg
0,first,male,,0,0,0,southampton
0,first,male,45.5,0,0,28.5,southampton
0,first,male,23,0,0,93.5,southampton
0,first,male,29,1,0,66.6,southampton
1,first,female,22,1,0,66.6,southampton
0,first,male,18,1,0,108.9,cherbourg
1,first,female,17,1,0,108.9,cherbourg
1,first,female,30,0,0,93.5,southampton
1,first,male,52,0,0,30.5,southampton
0,first,male,47,0,0,52,southampton
1,first,female,56,0,1,83.1583,cherbourg
0,first,male,38,0,0,0,southampton
1,first,male,,0,0,39.6,southampton
0,first,male,22,0,0,135.6333,cherbourg
0,first,male,,0,0,227.525,cherbourg
1,first,female,43,0,1,211.3375,southampton
0,first,male,31,0,0,50.4958,southampton
1,first,male,45,0,0,26.55,southampton
0,first,male,,0,0,50,southampton
1,first,female,33,0,0,27.7208,cherbourg
0,first,male,46,0,0,79.2,cherbourg
0,first,male,36,0,0,40.125,cherbourg
1,first,female,33,0,0,86.5,southampton
0,first,male,55,1,0,59.4,cherbourg
1,first,female,54,1,0,59.4,cherbourg
0,first,male,33,0,0,26.55,southampton
1,first,male,13,2,2,262.375,cherbourg
1,first,female,18,2,2,262.375,cherbourg
1,first,female,21,2,2,262.375,cherbourg
0,first,male,61,1,3,262.375,cherbourg
1,first,female,48,1,3,262.375,cherbourg
1,first,male,,0,0,30.5,southampton
1,first,female,24,0,0,69.3,cherbourg
1,first,male,,0,0,26,southampton
1,first,female,35,1,0,57.75,cherbourg
1,first,female,30,0,0,31,cherbourg
1,first,male,34,0,0,26.55,southampton
1,first,female,40,0,0,153.4625,southampton
1,first,male,35,0,0,26.2875,southampton
0,first,male,50,1,0,55.9,southampton
1,first,female,39,1,0,55.9,southampton
1,first,male,56,0,0,35.5,cherbourg
1,first,male,28,0,0,35.5,southampton
0,first,male,56,0,0,26.55,southampton
0,first,male,56,0,0,30.6958,cherbourg
0,first,male,24,1,0,60,southampton
0,first,male,,0,0,26,southampton
1,first,female,18,1,0,60,southampton
1,first,male,24,1,0,82.2667,southampton
1,first,female,23,1,0,82.2667,southampton
1,first,male,6,0,2,134.5,cherbourg
1,first,male,45,1,1,134.5,cherbourg
1,first,female,40,1,1,134.5,cherbourg
0,first,male,57,1,0,146.5208,cherbourg
1,first,female,,1,0,146.5208,cherbourg
1,first,male,32,0,0,30.5,cherbourg
0,first,male,62,0,0,26.55,southampton
1,first,male,54,1,0,55.4417,cherbourg
1,first,female,43,1,0,55.4417,cherbourg
1,first,female,52,1,0,78.2667,cherbourg
0,first,male,,0,0,27.7208,cherbourg
1,first,female,62,0,0,80,
0,first,male,67,1,0,221.7792,southampton
0,first,female,63,1,0,221.7792,southampton
0,first,male,61,0,0,32.3208,southampton
1,first,female,48,0,0,25.9292,southampton
1,first,female,18,0,2,79.65,southampton
0,first,male,52,1,1,79.65,southampton
1,first,female,39,1,1,79.65,southampton
1,first,male,48,1,0,52,southampton
1,first,female,,1,0,52,southampton
0,first,male,49,1,1,110.8833,cherbourg
1,first,male,17,0,2,110.8833,cherbourg
1,first,female,39,1,1,110.8833,cherbourg
1,first,female,,0,0,79.2,cherbourg
1,first,male,31,0,0,28.5375,cherbourg
0,first,male,40,0,0,27.7208,cherbourg
0,first,male,61,0,0,33.5,southampton
0,first,male,47,0,0,34.0208,southampton
1,first,female,35,0,0,512.3292,cherbourg
0,first,male,64,1,0,75.25,cherbourg
1,first,female,60,1,0,75.25,cherbourg
0,first,male,60,0,0,26.55,southampton
0,first,male,54,0,1,77.2875,southampton
0,first,male,21,0,1,77.2875,southampton
1,first,female,55,0,0,135.6333,cherbourg
1,first,female,31,0,2,164.8667,southampton
0,first,male,57,1,1,164.8667,southampton
1,first,female,45,1,1,164.8667,southampton
0,first,male,50,1,1,211.5,cherbourg
0,first,male,27,0,2,211.5,cherbourg
1,first,female,50,1,1,211.5,cherbourg
1,first,female,21,0,0,26.55,southampton
0,first,male,51,0,1,61.3792,cherbourg
1,first,male,21,0,1,61.3792,cherbourg
0,first,male,,0,0,35,southampton
1,first,female,31,0,0,134.5,cherbourg
1,first,male,,0,0,35.5,southampton
0,first,male,62,0,0,26.55,southampton
1,first,female,36,0,0,135.6333,cherbourg
0,second,male,30,1,0,24,cherbourg
1,second,female,28,1,0,24,cherbourg
0,second,male,30,0,0,13,southampton
0,second,male,18,0,0,11.5,southampton
0,second,male,25,0,0,10.5,southampton
0,second,male,34,1,0,26,southampton
1,second,female,36,1,0,26,southampton
0,second,male,57,0,0,13,southampton
0,second,male,18,0,0,11.5,southampton
0,second,male,23,0,0,10.5,southampton
1,second,female,36,0,0,13,southampton
0,second,male,28,0,0,10.5,southampton
0,second,male,51,0,0,12.525,southampton
1,second,male,32,1,0,26,southampton
1,second,female,19,1,0,26,southampton
0,second,male,28,0,0,26,southampton
1,second,male,1,2,1,39,southampton
1,second,female,4,2,1,39,southampton
1,second,female,12,2,1,39,southampton
1,second,female,36,0,3,39,southampton
1,second,male,34,0,0,13,southampton
1,second,female,19,0,0,13,southampton
0,second,male,23,0,0,13,southampton
0,second,male,26,0,0,13,southampton
0,second,male,42,0,0,13,southampton
0,second,male,27,0,0,13,southampton
1,second,female,24,0,0,13,southampton
1,second,female,15,0,2,39,southampton
0,second,male,60,1,1,39,southampton
1,second,female,40,1,1,39,southampton
1,second,female,20,1,0,26,southampton
0,second,male,25,1,0,26,southampton
1,second,female,36,0,0,13,southampton
0,second,male,25,0,0,13,southampton
0,second,male,42,0,0,13,southampton
1,second,female,42,0,0,13,southampton
1,second,male,0.8333,0,2,29,southampton
1,second,male,26,1,1,29,southampton
1,second,female,22,1,1,29,southampton
1,second,female,35,0,0,21,southampton
0,second,male,,0,0,0,southampton
0,second,male,19,0,0,13,southampton
0,second,female,44,1,0,26,southampton
0,second,male,54,1,0,26,southampton
0,second,male,52,0,0,13.5,southampton
0,second,male,37,1,0,26,southampton
0,second,female,29,1,0,26,southampton
1,second,female,25,1,1,30,southampton
1,second,female,45,0,2,30,southampton
0,second,male,29,1,0,26,southampton
1,second,female,28,1,0,26,southampton
0,second,male,29,0,0,10.5,southampton
0,second,male,28,0,0,13,southampton
1,second,male,24,0,0,10.5,southampton
1,second,female,8,0,2,26.25,southampton
0,second,male,31,1,1,26.25,southampton
1,second,female,31,1,1,26.25,southampton
1,second,female,22,0,0,10.5,southampton
0,second,female,30,0,0,13,southampton
0,second,female,,0,0,21,southampton
0,second,male,21,0,0,11.5,southampton
0,second,male,,0,0,0,southampton
1,second,male,8,1,1,36.75,southampton
0,second,male,18,0,0,73.5,southampton
1,second,female,48,0,2,36.75,southampton
1,second,female,28,0,0,13,southampton
0,second,male,32,0,0,13,southampton
0,second,male,17,0,0,73.5,southampton
0,second,male,29,1,0,27.7208,cherbourg
1,second,female,24,1,0,27.7208,cherbourg
0,second,male,25,0,0,31.5,southampton
0,second,male,18,0,0,73.5,southampton
1,second,female,18,0,1,23,southampton
1,second,female,34,0,1,23,southampton
0,second,male,54,0,0,26,southampton
1,second,male,8,0,2,32.5,southampton
0,second,male,42,1,1,32.5,southampton
1,second,female,34,1,1,32.5,southampton
1,second,female,27,1,0,13.8583,cherbourg
1,second,female,30,1,0,13.8583,cherbourg
0,second,male,23,0,0,13,southampton
0,second,male,21,0,0,13,southampton
0,second,male,18,0,0,13,southampton
0,second,male,40,1,0,26,southampton
1,second,female,29,1,0,26,southampton
0,second,male,18,0,0,10.5,southampton
0,second,male,36,0,0,13,southampton
0,second,male,,0,0,0,southampton
0,second,female,38,0,0,13,southampton
0,second,male,35,0,0,26,southampton
0,second,male,38,1,0,21,southampton
0,second,male,34,1,0,21,southampton
1,second,female,34,0,0,13,southampton
0,second,male,16,0,0,26,southampton
0,second,male,26,0,0,10.5,southampton
0,second,male,47,0,0,10.5,southampton
0,second,male,21,1,0,11.5,southampton
0,second,male,21,1,0,11.5,southampton
0,second,male,24,0,0,13.5,southampton
0,second,male,24,0,0,13,southampton
0,second,male,34,0,0,13,southampton
0,second,male,30,0,0,13,southampton
0,second,male,52,0,0,13,southampton
0,second,male,30,0,0,13,southampton
1,second,male,0.6667,1,1,14.5,southampton
1,second,female,24,0,2,14.5,southampton
0,second,male,44,0,0,13,southampton
1,second,female,6,0,1,33,southampton
0,second,male,28,0,1,33,southampton
1,second,male,62,0,0,10.5,southampton
0,second,male,30,0,0,10.5,southampton
1,second,female,7,0,2,26.25,southampton
0,second,male,43,1,1,26.25,southampton
1,second,female,45,1,1,26.25,southampton
1,second,female,24,1,2,65,southampton
1,second,female,24,1,2,65,southampton
0,second,male,49,1,2,65,southampton
1,second,female,48,1,2,65,southampton
1,second,female,55,0,0,16,southampton
0,second,male,24,2,0,73.5,southampton
0,second,male,32,2,0,73.5,southampton
0,second,male,21,2,0,73.5,southampton
0,second,female,18,1,1,13,southampton
1,second,female,20,2,1,23,southampton
0,second,male,23,2,1,11.5,southampton
0,second,male,36,0,0,13,southampton
1,second,female,54,1,3,23,southampton
0,second,male,50,0,0,13,southampton
0,second,male,44,1,0,26,southampton
1,second,female,29,1,0,26,southampton
0,second,male,21,0,0,73.5,southampton
1,second,male,42,0,0,13,southampton
0,second,male,63,1,0,26,southampton
0,second,female,60,1,0,26,southampton
0,second,male,33,0,0,12.275,southampton
1,second,female,17,0,0,10.5,southampton
0,second,male,42,1,0,27,southampton
1,second,female,24,2,1,27,southampton
0,second,male,47,0,0,15,southampton
0,second,male,24,2,0,31.5,southampton
0,second,male,22,2,0,31.5,southampton
0,second,male,32,0,0,10.5,southampton
1,second,female,23,0,0,13.7917,cherbourg
0,second,male,34,1,0,26,southampton
1,second,female,24,1,0,26,southampton
0,second,female,22,0,0,21,southampton
1,second,female,,0,0,12.35,queenstown
0,second,male,35,0,0,12.35,queenstown
1,second,female,45,0,0,13.5,southampton
0,second,male,57,0,0,12.35,queenstown
0,second,male,,0,0,0,southampton
0,second,male,31,0,0,10.5,southampton
0,second,female,26,1,1,26,southampton
0,second,male,30,1,1,26,southampton
0,second,male,,0,0,10.7083,queenstown
1,second,female,1,1,2,41.5792,cherbourg
1,second,female,3,1,2,41.5792,cherbourg
0,second,male,25,1,2,41.5792,cherbourg
1,second,female,22,1,2,41.5792,cherbourg
1,second,female,17,0,0,12,cherbourg
1,second,female,,0,0,33,southampton
1,second,female,34,0,0,10.5,southampton
0,second,male,36,0,0,12.875,cherbourg
0,second,male,24,0,0,10.5,southampton
0,second,male,61,0,0,12.35,queenstown
0,second,male,50,1,0,26,southampton
1,second,female,42,1,0,26,southampton
0,second,female,57,0,0,10.5,southampton
0,second,male,,0,0,15.0458,cherbourg
1,second,male,1,0,2,37.0042,cherbourg
0,second,male,31,1,1,37.0042,cherbourg
1,second,female,24,1,1,37.0042,cherbourg
0,second,male,,0,0,15.5792,cherbourg
0,second,male,30,0,0,13,southampton
0,second,male,40,0,0,16,southampton
0,second,male,32,0,0,13.5,southampton
0,second,male,30,0,0,13,southampton
0,second,male,46,0,0,26,southampton
1,second,female,13,0,1,19.5,southampton
1,second,female,41,0,1,19.5,southampton
1,second,male,19,0,0,10.5,southampton
0,second,male,39,0,0,13,southampton
0,second,male,48,0,0,13,southampton
0,second,male,70,0,0,10.5,southampton
0,second,male,27,0,0,13,southampton
0,second,male,54,0,0,14,southampton
0,second,male,39,0,0,26,southampton
0,second,male,16,0,0,10.5,southampton
0,second,male,62,0,0,9.6875,queenstown
0,second,male,32.5,1,0,30.0708,cherbourg
1,second,female,14,1,0,30.0708,cherbourg
1,second,male,2,1,1,26,southampton
1,second,male,3,1,1,26,southampton
0,second,male,36.5,0,2,26,southampton
0,second,male,26,0,0,13,southampton
0,second,male,19,1,1,36.75,southampton
0,second,male,28,0,0,13.5,southampton
1,second,male,20,0,0,13.8625,cherbourg
1,second,female,29,0,0,10.5,southampton
0,second,male,39,0,0,13,southampton
1,second,male,22,0,0,10.5,southampton
1,second,male,,0,0,13.8625,cherbourg
0,second,male,23,0,0,10.5,southampton
1,second,male,29,0,0,13.8583,cherbourg
0,second,male,28,0,0,10.5,southampton
0,second,male,,0,0,0,southampton
1,second,female,50,0,1,26,southampton
0,second,male,19,0,0,10.5,southampton
0,second,male,,0,0,15.05,cherbourg
0,second,male,41,0,0,13,southampton
1,second,female,21,0,1,21,southampton
1,second,female,19,0,0,26,southampton
0,second,male,43,0,1,21,southampton
1,second,female,32,0,0,13,southampton
0,second,male,34,0,0,13,southampton
1,second,male,30,0,0,12.7375,cherbourg
0,second,male,27,0,0,15.0333,cherbourg
1,second,female,2,1,1,26,southampton
1,second,female,8,1,1,26,southampton
1,second,female,33,0,2,26,southampton
0,second,male,36,0,0,10.5,southampton
0,second,male,34,1,0,21,southampton
1,second,female,30,3,0,21,southampton
1,second,female,28,0,0,13,southampton
0,second,male,23,0,0,15.0458,cherbourg
1,second,male,0.8333,1,1,18.75,southampton
1,second,male,3,1,1,18.75,southampton
1,second,female,24,2,3,18.75,southampton
1,second,female,50,0,0,10.5,southampton
0,second,male,19,0,0,10.5,southampton
1,second,female,21,0,0,10.5,southampton
0,second,male,26,0,0,13,southampton
0,second,male,25,0,0,13,southampton
0,second,male,27,0,0,26,southampton
1,second,female,25,0,1,26,southampton
1,second,female,18,0,2,13,southampton
1,second,female,20,0,0,36.75,southampton
1,second,female,30,0,0,13,southampton
0,second,male,59,0,0,13.5,southampton
1,second,female,30,0,0,12.35,queenstown
0,second,male,35,0,0,10.5,southampton
1,second,female,40,0,0,13,southampton
0,second,male,25,0,0,13,southampton
0,second,male,41,0,0,15.0458,cherbourg
0,second,male,25,0,0,10.5,southampton
0,second,male,18.5,0,0,13,southampton
0,second,male,14,0,0,65,southampton
1,second,female,50,0,0,10.5,southampton
0,second,male,23,0,0,13,southampton
1,second,female,28,0,0,12.65,southampton
1,second,female,27,0,0,10.5,southampton
0,second,male,29,1,0,21,southampton
0,second,female,27,1,0,21,southampton
0,second,male,40,0,0,13,southampton
1,second,female,31,0,0,21,southampton
0,second,male,30,1,0,21,southampton
0,second,male,23,1,0,10.5,southampton
1,second,female,31,0,0,21,southampton
0,second,male,,0,0,0,southampton
1,second,female,12,0,0,15.75,southampton
1,second,female,40,0,0,15.75,southampton
1,second,female,32.5,0,0,13,southampton
0,second,male,27,1,0,26,southampton
1,second,female,29,1,0,26,southampton
1,second,male,2,1,1,23,southampton
1,second,female,4,1,1,23,southampton
1,second,female,29,0,2,23,southampton
1,second,female,0.9167,1,2,27.75,southampton
1,second,female,5,1,2,27.75,southampton
0,second,male,36,1,2,27.75,southampton
1,second,female,33,1,2,27.75,southampton
0,second,male,66,0,0,10.5,southampton
0,second,male,,0,0,12.875,southampton
1,second,male,31,0,0,13,southampton
1,second,male,,0,0,13,southampton
1,second,female,26,0,0,13.5,southampton
0,second,female,24,0,0,13,southampton
0,third,male,42,0,0,7.55,southampton
0,third,male,13,0,2,20.25,southampton
0,third,male,16,1,1,20.25,southampton
1,third,female,35,1,1,20.25,southampton
1,third,female,16,0,0,7.65,southampton
1,third,male,25,0,0,7.65,southampton
1,third,male,20,0,0,7.925,southampton
1,third,female,18,0,0,7.2292,cherbourg
0,third,male,30,0,0,7.25,southampton
0,third,male,26,0,0,8.05,southampton
0,third,female,40,1,0,9.475,southampton
1,third,male,0.8333,0,1,9.35,southampton
1,third,female,18,0,1,9.35,southampton
1,third,male,26,0,0,18.7875,cherbourg
0,third,male,26,0,0,7.8875,southampton
0,third,male,20,0,0,7.925,southampton
0,third,male,24,0,0,7.05,southampton
0,third,male,25,0,0,7.05,southampton
0,third,male,35,0,0,8.05,southampton
0,third,male,18,0,0,8.3,southampton
0,third,male,32,0,0,22.525,southampton
1,third,female,19,1,0,7.8542,southampton
0,third,male,4,4,2,31.275,southampton
0,third,female,6,4,2,31.275,southampton
0,third,female,2,4,2,31.275,southampton
1,third,female,17,4,2,7.925,southampton
0,third,female,38,4,2,7.775,southampton
0,third,female,9,4,2,31.275,southampton
0,third,female,11,4,2,31.275,southampton
0,third,male,39,1,5,31.275,southampton
1,third,male,27,0,0,7.7958,southampton
0,third,male,26,0,0,7.775,southampton
0,third,female,39,1,5,31.275,southampton
0,third,male,20,0,0,7.8542,southampton
0,third,male,26,0,0,7.8958,southampton
0,third,male,25,1,0,17.8,southampton
0,third,female,18,1,0,17.8,southampton
0,third,male,24,0,0,7.775,southampton
0,third,male,35,0,0,7.05,southampton
0,third,male,5,4,2,31.3875,southampton
0,third,male,9,4,2,31.3875,southampton
1,third,male,3,4,2,31.3875,southampton
0,third,male,13,4,2,31.3875,southampton
1,third,female,5,4,2,31.3875,southampton
0,third,male,40,1,5,31.3875,southampton
1,third,male,23,0,0,7.7958,southampton
1,third,female,38,1,5,31.3875,southampton
1,third,female,45,0,0,7.225,cherbourg
0,third,male,21,0,0,7.225,cherbourg
0,third,male,23,0,0,7.05,southampton
0,third,female,17,0,0,14.4583,cherbourg
0,third,male,30,0,0,7.225,cherbourg
0,third,male,23,0,0,7.8542,southampton
1,third,female,13,0,0,7.2292,cherbourg
0,third,male,20,0,0,7.225,cherbourg
0,third,male,32,1,0,15.85,southampton
1,third,female,33,3,0,15.85,southampton
1,third,female,0.75,2,1,19.2583,cherbourg
1,third,female,0.75,2,1,19.2583,cherbourg
1,third,female,5,2,1,19.2583,cherbourg
1,third,female,24,0,3,19.2583,cherbourg
1,third,female,18,0,0,8.05,southampton
0,third,male,40,0,0,7.225,cherbourg
0,third,male,26,0,0,7.8958,southampton
1,third,male,20,0,0,7.2292,cherbourg
0,third,female,18,0,1,14.4542,cherbourg
0,third,female,45,0,1,14.4542,cherbourg
0,third,female,27,0,0,7.8792,queenstown
0,third,male,22,0,0,8.05,southampton
0,third,male,19,0,0,8.05,southampton
0,third,male,26,0,0,7.775,southampton
0,third,male,22,0,0,9.35,southampton
0,third,male,,0,0,7.2292,cherbourg
0,third,male,20,0,0,4.0125,cherbourg
1,third,male,32,0,0,56.4958,southampton
0,third,male,21,0,0,7.775,southampton
0,third,male,18,0,0,7.75,southampton
0,third,male,26,0,0,7.8958,southampton
0,third,male,6,1,1,15.2458,cherbourg
0,third,female,9,1,1,15.2458,cherbourg
0,third,male,,0,0,7.225,cherbourg
0,third,female,,0,2,15.2458,cherbourg
0,third,female,,0,2,7.75,queenstown
0,third,male,40,1,1,15.5,queenstown
0,third,female,32,1,1,15.5,queenstown
0,third,male,21,0,0,16.1,southampton
1,third,female,22,0,0,7.725,queenstown
0,third,female,20,0,0,7.8542,southampton
0,third,male,29,1,0,7.0458,southampton
0,third,male,22,1,0,7.25,southampton
