object_type,schema,table,name,definition
index,planning,demand_observations,demand_observations_series_idx,"CREATE INDEX demand_observations_series_idx ON planning.demand_observations(facility_id,metric_code,bucket_start DESC);"
index,planning,demand_forecast_points,demand_forecast_points_idx,"CREATE INDEX demand_forecast_points_idx ON planning.demand_forecast_points(demand_forecast_id,bucket_start);"
index,integration,fhir_resources,fhir_resources_type_updated_idx,"CREATE INDEX fhir_resources_type_updated_idx ON integration.fhir_resources(source_system_id,resource_type,last_updated DESC);"
index,integration,fhir_resources,fhir_resources_json_gin_idx,CREATE INDEX fhir_resources_json_gin_idx ON integration.fhir_resources USING gin(resource_json jsonb_path_ops);
index,integration,outbox_events,outbox_unpublished_idx,CREATE INDEX outbox_unpublished_idx ON integration.outbox_events(available_at) WHERE published_at IS NULL;
index,mcp,client_sessions,mcp_sessions_active_idx,"CREATE INDEX mcp_sessions_active_idx ON mcp.client_sessions(server_id,last_activity_at DESC) WHERE closed_at IS NULL;"
index,mcp,requests,mcp_requests_time_idx,"CREATE INDEX mcp_requests_time_idx ON mcp.requests(tenant_id,requested_at DESC);"
index,mcp,requests,mcp_requests_method_idx,"CREATE INDEX mcp_requests_method_idx ON mcp.requests(tenant_id,method,requested_at DESC);"
index,mcp,protocol_logs,protocol_logs_time_idx,"CREATE INDEX protocol_logs_time_idx ON mcp.protocol_logs(tenant_id,occurred_at DESC);"
index,audit,audit_events,audit_events_tenant_time_idx,"CREATE INDEX audit_events_tenant_time_idx ON audit.audit_events(tenant_id,occurred_at DESC);"
index,audit,audit_events,audit_events_patient_time_idx,"CREATE INDEX audit_events_patient_time_idx ON audit.audit_events(patient_id,occurred_at DESC);"
index,audit,row_changes,row_changes_record_idx,"CREATE INDEX row_changes_record_idx ON audit.row_changes(schema_name,table_name,record_id,changed_at DESC);"
index,audit,data_access_events,data_access_patient_idx,"CREATE INDEX data_access_patient_idx ON audit.data_access_events(patient_id,accessed_at DESC);"
index,audit,provenance_records,provenance_target_idx,"CREATE INDEX provenance_target_idx ON audit.provenance_records(target_type,target_id,occurred_at DESC);"
index,analytics,metric_observations,metric_observations_series_idx,"CREATE INDEX metric_observations_series_idx ON analytics.metric_observations(metric_definition_id,observed_at DESC);"
index,clinical,encounters,encounters_active_facility_idx,"CREATE INDEX IF NOT EXISTS encounters_active_facility_idx ON clinical.encounters(tenant_id,facility_id,started_at) WHERE ended_at IS NULL;"
index,clinical,encounters,encounters_patient_active_idx,"CREATE INDEX IF NOT EXISTS encounters_patient_active_idx ON clinical.encounters(tenant_id,patient_id,started_at DESC) WHERE ended_at IS NULL;"
index,clinical,isolation_requirements,isolation_requirements_active_idx,"CREATE INDEX IF NOT EXISTS isolation_requirements_active_idx ON clinical.isolation_requirements(tenant_id,encounter_id,starts_at) WHERE ends_at IS NULL AND status = 'active';"
index,workforce,shifts,shifts_facility_time_idx,"CREATE INDEX IF NOT EXISTS shifts_facility_time_idx ON workforce.shifts(tenant_id,facility_id,starts_at,ends_at);"
index,workforce,shift_assignments,shift_assignments_practitioner_idx,"CREATE INDEX IF NOT EXISTS shift_assignments_practitioner_idx ON workforce.shift_assignments(tenant_id,practitioner_id,created_at DESC) WHERE status IN ('planned','offered','accepted','checked_in');"
index,workforce,licenses,licenses_expiry_idx,"CREATE INDEX IF NOT EXISTS licenses_expiry_idx ON workforce.licenses(tenant_id,expires_on) WHERE status = 'active' AND expires_on IS NOT NULL;"
index,workforce,certifications,certifications_expiry_idx,"CREATE INDEX IF NOT EXISTS certifications_expiry_idx ON workforce.certifications(tenant_id,expires_on) WHERE status = 'active' AND expires_on IS NOT NULL;"
index,workforce,practitioner_privileges,practitioner_privileges_current_idx,"CREATE INDEX IF NOT EXISTS practitioner_privileges_current_idx ON workforce.practitioner_privileges(tenant_id,practitioner_id,facility_id,valid_from,valid_to) WHERE status = 'active';"
index,capacity,bed_assignments,bed_assignments_active_idx,"CREATE INDEX IF NOT EXISTS bed_assignments_active_idx ON capacity.bed_assignments(tenant_id,bed_id,starts_at DESC) WHERE ends_at IS NULL;"
index,capacity,bed_holds,bed_holds_active_idx,"CREATE INDEX IF NOT EXISTS bed_holds_active_idx ON capacity.bed_holds(tenant_id,bed_id,starts_at,expires_at) WHERE released_at IS NULL;"
index,capacity,inventory_lots,inventory_lots_available_idx,"CREATE INDEX IF NOT EXISTS inventory_lots_available_idx ON capacity.inventory_lots(tenant_id,inventory_item_id,facility_id,expires_on) WHERE quantity_on_hand > quantity_reserved + quantity_quarantined;"
index,incident,incidents,incidents_active_idx,"CREATE INDEX IF NOT EXISTS incidents_active_idx ON incident.incidents(tenant_id,status,severity,started_at DESC) WHERE status NOT IN ('closed','cancelled');"
index,policy,violations,policy_violations_open_idx,"CREATE INDEX IF NOT EXISTS policy_violations_open_idx ON policy.violations(tenant_id,plan_id,severity,constraint_strength,detected_at DESC) WHERE status IN ('open','acknowledged');"
index,policy,evaluation_sessions,evaluation_sessions_subject_idx,"CREATE INDEX IF NOT EXISTS evaluation_sessions_subject_idx ON policy.evaluation_sessions(tenant_id,subject_type,subject_id,started_at DESC);"
index,planning,candidate_plans,candidate_plans_scenario_idx,"CREATE INDEX IF NOT EXISTS candidate_plans_scenario_idx ON planning.candidate_plans(tenant_id,scenario_version_id,status,generated_at DESC);"
index,planning,plan_actions,plan_actions_schedule_idx,"CREATE INDEX IF NOT EXISTS plan_actions_schedule_idx ON planning.plan_actions(tenant_id,candidate_plan_id,starts_at,ends_at);"
index,planning,execution_steps,execution_steps_pending_idx,"CREATE INDEX IF NOT EXISTS execution_steps_pending_idx ON planning.execution_steps(tenant_id,plan_execution_id,status) WHERE status IN ('queued','running','partial');"
index,mcp,requests,mcp_requests_correlation_idx,"CREATE INDEX IF NOT EXISTS mcp_requests_correlation_idx ON mcp.requests(tenant_id,correlation_id,requested_at DESC);"
index,mcp,tool_calls,mcp_tool_calls_status_idx,"CREATE INDEX IF NOT EXISTS mcp_tool_calls_status_idx ON mcp.tool_calls(tenant_id,status,started_at DESC);"
index,integration,outbox_events,outbox_unpublished_tenant_idx,"CREATE INDEX IF NOT EXISTS outbox_unpublished_tenant_idx ON integration.outbox_events(tenant_id,available_at,occurred_at) WHERE published_at IS NULL;"
index,integration,webhook_deliveries,webhook_delivery_retry_idx,"CREATE INDEX IF NOT EXISTS webhook_delivery_retry_idx ON integration.webhook_deliveries(tenant_id,outcome,next_retry_at) WHERE outcome IN ('pending','retrying');"
index,audit,audit_events,audit_events_actor_time_idx,"CREATE INDEX IF NOT EXISTS audit_events_actor_time_idx ON audit.audit_events(tenant_id,actor_id,occurred_at DESC);"
index,audit,audit_events,audit_events_patient_time_cover_idx,"CREATE INDEX IF NOT EXISTS audit_events_patient_time_cover_idx ON audit.audit_events(tenant_id,patient_id,occurred_at DESC) WHERE patient_id IS NOT NULL;"
index,audit,data_access_events,data_access_patient_time_idx,"CREATE INDEX IF NOT EXISTS data_access_patient_time_idx ON audit.data_access_events(tenant_id,patient_id,accessed_at DESC) WHERE patient_id IS NOT NULL;"
index,analytics,metric_observations,metric_observations_metric_time_idx,"CREATE INDEX IF NOT EXISTS metric_observations_metric_time_idx ON analytics.metric_observations(tenant_id,metric_definition_id,observed_at DESC);"
