schema,table,ordinal,column,type,nullable,default,primary_key,unique,references,definition
core,facilities,15,longitude,"numeric(9,6)",yes,,no,no,,"longitude numeric(9,6)"
core,facilities,16,metadata,jsonb,no,'{}',no,no,,metadata jsonb NOT NULL DEFAULT '{}'
core,facilities,17,created_by,uuid,yes,,no,no,,created_by uuid
core,facilities,18,updated_by,uuid,yes,,no,no,,updated_by uuid
core,facilities,19,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
core,facilities,20,updated_at,timestamptz,no,now(),no,no,,updated_at timestamptz NOT NULL DEFAULT now()
core,facilities,21,row_version,bigint,no,1,no,no,,row_version bigint NOT NULL DEFAULT 1
core,facilities,22,"UNIQUE(tenant_id,facility_code)",,yes,,no,yes,,"UNIQUE(tenant_id,facility_code)"
core,facilities,23,"UNIQUE(tenant_id,id)",,yes,,no,yes,,"UNIQUE(tenant_id,id)"
core,addresses,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
core,addresses,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
core,addresses,3,entity_type,text,no,,no,no,,entity_type text NOT NULL
core,addresses,4,entity_id,uuid,no,,no,no,,entity_id uuid NOT NULL
core,addresses,5,use_code,text,yes,,no,no,,use_code text
core,addresses,6,line1,text,yes,,no,no,,line1 text
core,addresses,7,line2,text,yes,,no,no,,line2 text
core,addresses,8,city,text,yes,,no,no,,city text
core,addresses,9,district,text,yes,,no,no,,district text
core,addresses,10,state_region,text,yes,,no,no,,state_region text
core,addresses,11,postal_code,text,yes,,no,no,,postal_code text
core,addresses,12,country_code,char(2),yes,,no,no,,country_code char(2)
core,addresses,13,latitude,"numeric(9,6)",yes,,no,no,,"latitude numeric(9,6)"
core,addresses,14,longitude,"numeric(9,6)",yes,,no,no,,"longitude numeric(9,6)"
core,addresses,15,valid_from,timestamptz,yes,,no,no,,valid_from timestamptz
core,addresses,16,valid_to,timestamptz,yes,,no,no,,valid_to timestamptz
core,addresses,17,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
core,contacts,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
core,contacts,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
core,contacts,3,entity_type,text,no,,no,no,,entity_type text NOT NULL
core,contacts,4,entity_id,uuid,no,,no,no,,entity_id uuid NOT NULL
core,contacts,5,contact_type,text,no,,no,no,,contact_type text NOT NULL
core,contacts,6,contact_value_encrypted,bytea,yes,,no,no,,contact_value_encrypted bytea
core,contacts,7,contact_value_hash,core.sha256_hex,yes,,no,no,,contact_value_hash core.sha256_hex
core,contacts,8,use_code,text,yes,,no,no,,use_code text
core,contacts,9,priority,smallint,no,1,no,no,,priority smallint NOT NULL DEFAULT 1 CHECK(priority>0)
core,contacts,10,verified_at,timestamptz,yes,,no,no,,verified_at timestamptz
core,contacts,11,valid_from,timestamptz,yes,,no,no,,valid_from timestamptz
core,contacts,12,valid_to,timestamptz,yes,,no,no,,valid_to timestamptz
core,contacts,13,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
core,departments,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
core,departments,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
core,departments,3,facility_id,uuid,no,,no,no,core.facilities(id),facility_id uuid NOT NULL REFERENCES core.facilities(id)
core,departments,4,parent_department_id,uuid,yes,,no,no,core.departments(id),parent_department_id uuid REFERENCES core.departments(id)
core,departments,5,code,citext,no,,no,no,,code citext NOT NULL
core,departments,6,name,core.nonempty_text,no,,no,no,,name core.nonempty_text NOT NULL
core,departments,7,department_type,text,no,,no,no,,department_type text NOT NULL
core,departments,8,cost_center_code,text,yes,,no,no,,cost_center_code text
core,departments,9,status,core.record_status,no,'active',no,no,,status core.record_status NOT NULL DEFAULT 'active'
core,departments,10,metadata,jsonb,no,'{}',no,no,,metadata jsonb NOT NULL DEFAULT '{}'
core,departments,11,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
core,departments,12,updated_at,timestamptz,no,now(),no,no,,updated_at timestamptz NOT NULL DEFAULT now()
core,departments,13,row_version,bigint,no,1,no,no,,row_version bigint NOT NULL DEFAULT 1
core,departments,14,"UNIQUE(tenant_id,facility_id,code)",,yes,,no,yes,,"UNIQUE(tenant_id,facility_id,code)"
core,service_lines,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
core,service_lines,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
core,service_lines,3,code,citext,no,,no,no,,code citext NOT NULL
core,service_lines,4,name,core.nonempty_text,no,,no,no,,name core.nonempty_text NOT NULL
core,service_lines,5,description,text,yes,,no,no,,description text
core,service_lines,6,status,core.record_status,no,'active',no,no,,status core.record_status NOT NULL DEFAULT 'active'
core,service_lines,7,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
core,service_lines,8,updated_at,timestamptz,no,now(),no,no,,updated_at timestamptz NOT NULL DEFAULT now()
core,service_lines,9,row_version,bigint,no,1,no,no,,row_version bigint NOT NULL DEFAULT 1
core,service_lines,10,"UNIQUE(tenant_id,code)",,yes,,no,yes,,"UNIQUE(tenant_id,code)"
core,department_service_lines,1,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
core,department_service_lines,2,department_id,uuid,no,,no,no,core.departments(id),department_id uuid NOT NULL REFERENCES core.departments(id) ON DELETE CASCADE
core,department_service_lines,3,service_line_id,uuid,no,,no,no,core.service_lines(id),service_line_id uuid NOT NULL REFERENCES core.service_lines(id) ON DELETE CASCADE
core,department_service_lines,4,is_primary,boolean,no,false,no,no,,is_primary boolean NOT NULL DEFAULT false
core,department_service_lines,5,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
core,configurations,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
core,configurations,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
core,configurations,3,facility_id,uuid,yes,,no,no,core.facilities(id),facility_id uuid REFERENCES core.facilities(id) ON DELETE CASCADE
core,configurations,4,namespace,citext,no,,no,no,,namespace citext NOT NULL
core,configurations,5,config_key,citext,no,,no,no,,config_key citext NOT NULL
core,configurations,6,config_value,jsonb,no,,no,no,,config_value jsonb NOT NULL
core,configurations,7,is_secret_reference,boolean,no,false,no,no,,is_secret_reference boolean NOT NULL DEFAULT false
core,configurations,8,valid_from,timestamptz,no,now(),no,no,,valid_from timestamptz NOT NULL DEFAULT now()
core,configurations,9,valid_to,timestamptz,yes,,no,no,,valid_to timestamptz
core,configurations,10,created_by,uuid,yes,,no,no,,created_by uuid
core,configurations,11,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
core,retention_policies,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
core,retention_policies,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
core,retention_policies,3,data_category,text,no,,no,no,,data_category text NOT NULL
core,retention_policies,4,jurisdiction,text,yes,,no,no,,jurisdiction text
core,retention_policies,5,retention_days,integer,no,,no,no,,retention_days integer NOT NULL CHECK(retention_days>0)
core,retention_policies,6,disposition_action,text,no,,no,no,,"disposition_action text NOT NULL CHECK(disposition_action IN('delete','anonymize','archive','review'))"
core,retention_policies,7,legal_basis,text,yes,,no,no,,legal_basis text
core,retention_policies,8,status,core.record_status,no,'active',no,no,,status core.record_status NOT NULL DEFAULT 'active'
core,retention_policies,9,valid_from,timestamptz,no,now(),no,no,,valid_from timestamptz NOT NULL DEFAULT now()
core,retention_policies,10,valid_to,timestamptz,yes,,no,no,,valid_to timestamptz
core,retention_policies,11,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
core,retention_policies,12,"UNIQUE(tenant_id,data_category,jurisdiction,valid_from)",,yes,,no,yes,,"UNIQUE(tenant_id,data_category,jurisdiction,valid_from)"
iam,users,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
iam,users,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
iam,users,3,username,citext,no,,no,no,,username citext NOT NULL
iam,users,4,display_name,text,no,,no,no,,display_name text NOT NULL
iam,users,5,email_encrypted,bytea,yes,,no,no,,email_encrypted bytea
iam,users,6,email_hash,core.sha256_hex,yes,,no,no,,email_hash core.sha256_hex
iam,users,7,phone_encrypted,bytea,yes,,no,no,,phone_encrypted bytea
iam,users,8,status,core.record_status,no,'active',no,no,,status core.record_status NOT NULL DEFAULT 'active'
iam,users,9,preferred_locale,text,yes,,no,no,,preferred_locale text
iam,users,10,preferred_timezone,text,yes,,no,no,,preferred_timezone text
iam,users,11,last_login_at,timestamptz,yes,,no,no,,last_login_at timestamptz
iam,users,12,password_auth_disabled,boolean,no,true,no,no,,password_auth_disabled boolean NOT NULL DEFAULT true
iam,users,13,mfa_required,boolean,no,true,no,no,,mfa_required boolean NOT NULL DEFAULT true
iam,users,14,attributes,jsonb,no,'{}',no,no,,attributes jsonb NOT NULL DEFAULT '{}'
iam,users,15,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
iam,users,16,updated_at,timestamptz,no,now(),no,no,,updated_at timestamptz NOT NULL DEFAULT now()
iam,users,17,row_version,bigint,no,1,no,no,,row_version bigint NOT NULL DEFAULT 1
iam,users,18,"UNIQUE(tenant_id,username)",,yes,,no,yes,,"UNIQUE(tenant_id,username)"
iam,users,19,"UNIQUE(tenant_id,id)",,yes,,no,yes,,"UNIQUE(tenant_id,id)"
iam,user_identities,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
iam,user_identities,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
iam,user_identities,3,user_id,uuid,no,,no,no,iam.users(id),user_id uuid NOT NULL REFERENCES iam.users(id) ON DELETE CASCADE
iam,user_identities,4,issuer,text,no,,no,no,,issuer text NOT NULL
iam,user_identities,5,subject,text,no,,no,no,,subject text NOT NULL
iam,user_identities,6,identity_type,text,no,'oidc',no,no,,identity_type text NOT NULL DEFAULT 'oidc'
iam,user_identities,7,claims_snapshot,jsonb,no,'{}',no,no,,claims_snapshot jsonb NOT NULL DEFAULT '{}'
iam,user_identities,8,linked_at,timestamptz,no,now(),no,no,,linked_at timestamptz NOT NULL DEFAULT now()
iam,user_identities,9,last_seen_at,timestamptz,yes,,no,no,,last_seen_at timestamptz
iam,user_identities,10,"UNIQUE(tenant_id,issuer,subject)",,yes,,no,yes,,"UNIQUE(tenant_id,issuer,subject)"
iam,service_accounts,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
iam,service_accounts,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
iam,service_accounts,3,name,citext,no,,no,no,,name citext NOT NULL
iam,service_accounts,4,description,text,yes,,no,no,,description text
iam,service_accounts,5,status,core.record_status,no,'active',no,no,,status core.record_status NOT NULL DEFAULT 'active'
iam,service_accounts,6,owner_user_id,uuid,yes,,no,no,iam.users(id),owner_user_id uuid REFERENCES iam.users(id)
iam,service_accounts,7,credential_reference,text,yes,,no,no,,credential_reference text
iam,service_accounts,8,allowed_audiences,text[],no,'{}',no,no,,allowed_audiences text[] NOT NULL DEFAULT '{}'
iam,service_accounts,9,expires_at,timestamptz,yes,,no,no,,expires_at timestamptz
iam,service_accounts,10,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
iam,service_accounts,11,updated_at,timestamptz,no,now(),no,no,,updated_at timestamptz NOT NULL DEFAULT now()
iam,service_accounts,12,row_version,bigint,no,1,no,no,,row_version bigint NOT NULL DEFAULT 1
iam,service_accounts,13,"UNIQUE(tenant_id,name)",,yes,,no,yes,,"UNIQUE(tenant_id,name)"
iam,service_accounts,14,"UNIQUE(tenant_id,id)",,yes,,no,yes,,"UNIQUE(tenant_id,id)"
iam,oauth_clients,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
iam,oauth_clients,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
iam,oauth_clients,3,client_id,text,no,,no,no,,client_id text NOT NULL
iam,oauth_clients,4,client_name,text,no,,no,no,,client_name text NOT NULL
iam,oauth_clients,5,client_type,text,no,,no,no,,"client_type text NOT NULL CHECK(client_type IN('public','confidential','service'))"
iam,oauth_clients,6,status,core.record_status,no,'active',no,no,,status core.record_status NOT NULL DEFAULT 'active'
iam,oauth_clients,7,token_endpoint_auth_method,text,yes,,no,no,,token_endpoint_auth_method text
iam,oauth_clients,8,jwks_uri,text,yes,,no,no,,jwks_uri text
iam,oauth_clients,9,jwks,jsonb,yes,,no,no,,jwks jsonb
iam,oauth_clients,10,allowed_grant_types,text[],no,'{}',no,no,,allowed_grant_types text[] NOT NULL DEFAULT '{}'
iam,oauth_clients,11,allowed_scopes,text[],no,'{}',no,no,,allowed_scopes text[] NOT NULL DEFAULT '{}'
iam,oauth_clients,12,credential_reference,text,yes,,no,no,,credential_reference text
iam,oauth_clients,13,metadata_document_uri,text,yes,,no,no,,metadata_document_uri text
iam,oauth_clients,14,redirect_uris,text[],no,'{}',no,no,,redirect_uris text[] NOT NULL DEFAULT '{}'
iam,oauth_clients,15,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
iam,oauth_clients,16,updated_at,timestamptz,no,now(),no,no,,updated_at timestamptz NOT NULL DEFAULT now()
iam,oauth_clients,17,row_version,bigint,no,1,no,no,,row_version bigint NOT NULL DEFAULT 1
iam,oauth_clients,18,"UNIQUE(tenant_id,client_id)",,yes,,no,yes,,"UNIQUE(tenant_id,client_id)"
iam,oauth_clients,19,"UNIQUE(tenant_id,id)",,yes,,no,yes,,"UNIQUE(tenant_id,id)"
iam,api_keys,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
iam,api_keys,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
iam,api_keys,3,principal_kind,core.actor_kind,no,,no,no,,principal_kind core.actor_kind NOT NULL
iam,api_keys,4,principal_id,uuid,no,,no,no,,principal_id uuid NOT NULL
iam,api_keys,5,key_prefix,text,no,,no,no,,key_prefix text NOT NULL
iam,api_keys,6,key_hash,core.sha256_hex,no,,no,no,,key_hash core.sha256_hex NOT NULL
iam,api_keys,7,name,text,no,,no,no,,name text NOT NULL
iam,api_keys,8,scopes,text[],no,'{}',no,no,,scopes text[] NOT NULL DEFAULT '{}'
iam,api_keys,9,expires_at,timestamptz,yes,,no,no,,expires_at timestamptz
iam,api_keys,10,revoked_at,timestamptz,yes,,no,no,,revoked_at timestamptz
iam,api_keys,11,last_used_at,timestamptz,yes,,no,no,,last_used_at timestamptz
iam,api_keys,12,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
iam,api_keys,13,"UNIQUE(tenant_id,key_hash)",,yes,,no,yes,,"UNIQUE(tenant_id,key_hash)"
iam,roles,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
iam,roles,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
iam,roles,3,code,citext,no,,no,no,,code citext NOT NULL
iam,roles,4,name,text,no,,no,no,,name text NOT NULL
iam,roles,5,description,text,yes,,no,no,,description text
iam,roles,6,is_system,boolean,no,false,no,no,,is_system boolean NOT NULL DEFAULT false
iam,roles,7,status,core.record_status,no,'active',no,no,,status core.record_status NOT NULL DEFAULT 'active'
iam,roles,8,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
iam,roles,9,updated_at,timestamptz,no,now(),no,no,,updated_at timestamptz NOT NULL DEFAULT now()
iam,roles,10,row_version,bigint,no,1,no,no,,row_version bigint NOT NULL DEFAULT 1
iam,roles,11,"UNIQUE(tenant_id,code)",,yes,,no,yes,,"UNIQUE(tenant_id,code)"
iam,permissions,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
iam,permissions,2,permission_key,citext,no,,no,yes,,permission_key citext NOT NULL UNIQUE
iam,permissions,3,resource_type,text,no,,no,no,,resource_type text NOT NULL
iam,permissions,4,action,core.action_kind,no,,no,no,,action core.action_kind NOT NULL
iam,permissions,5,description,text,no,,no,no,,description text NOT NULL
iam,permissions,6,is_phi_access,boolean,no,false,no,no,,is_phi_access boolean NOT NULL DEFAULT false
iam,permissions,7,requires_purpose_of_use,boolean,no,false,no,no,,requires_purpose_of_use boolean NOT NULL DEFAULT false
iam,role_permissions,1,role_id,uuid,no,,no,no,iam.roles(id),role_id uuid NOT NULL REFERENCES iam.roles(id) ON DELETE CASCADE
iam,role_permissions,2,permission_id,uuid,no,,no,no,iam.permissions(id),permission_id uuid NOT NULL REFERENCES iam.permissions(id) ON DELETE CASCADE
iam,role_permissions,3,conditions,jsonb,no,'{}',no,no,,conditions jsonb NOT NULL DEFAULT '{}'
iam,role_permissions,4,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
iam,user_roles,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
iam,user_roles,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
iam,user_roles,3,user_id,uuid,no,,no,no,iam.users(id),user_id uuid NOT NULL REFERENCES iam.users(id) ON DELETE CASCADE
iam,user_roles,4,role_id,uuid,no,,no,no,iam.roles(id),role_id uuid NOT NULL REFERENCES iam.roles(id) ON DELETE CASCADE
iam,user_roles,5,facility_id,uuid,yes,,no,no,core.facilities(id),facility_id uuid REFERENCES core.facilities(id) ON DELETE CASCADE
iam,user_roles,6,department_id,uuid,yes,,no,no,core.departments(id),department_id uuid REFERENCES core.departments(id) ON DELETE CASCADE
iam,user_roles,7,valid_from,timestamptz,no,now(),no,no,,valid_from timestamptz NOT NULL DEFAULT now()
iam,user_roles,8,valid_to,timestamptz,yes,,no,no,,valid_to timestamptz
iam,user_roles,9,granted_by,uuid,yes,,no,no,iam.users(id),granted_by uuid REFERENCES iam.users(id)
iam,user_roles,10,grant_reason,text,yes,,no,no,,grant_reason text
iam,user_roles,11,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
iam,data_scopes,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
iam,data_scopes,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
iam,data_scopes,3,scope_key,citext,no,,no,no,,scope_key citext NOT NULL
iam,data_scopes,4,scope_type,text,no,,no,no,,scope_type text NOT NULL
iam,data_scopes,5,expression,jsonb,no,,no,no,,expression jsonb NOT NULL
iam,data_scopes,6,description,text,yes,,no,no,,description text
iam,data_scopes,7,created_at,timestamptz,no,now(),no,no,,created_at timestamptz NOT NULL DEFAULT now()
iam,data_scopes,8,"UNIQUE(tenant_id,scope_key)",,yes,,no,yes,,"UNIQUE(tenant_id,scope_key)"
iam,principal_scopes,1,id,uuid,no,gen_random_uuid(),yes,no,,id uuid PRIMARY KEY DEFAULT gen_random_uuid()
iam,principal_scopes,2,tenant_id,uuid,no,,no,no,core.tenants(id),tenant_id uuid NOT NULL REFERENCES core.tenants(id) ON DELETE CASCADE
iam,principal_scopes,3,principal_kind,core.actor_kind,no,,no,no,,principal_kind core.actor_kind NOT NULL
